"word" "word.freq" "doc.freq"
"229" "verhältniß" 31 29
"230" "ernst" 227 206
"231" "interesse" 70 66
"232" "geltend" 17 17
"233" "erachten" 14 14
"234" "pflicht" 120 104
"235" "thüren" 33 33
"236" "anklopfen" 4 4
"237" "regiment" 57 51
"238" "leute" 464 350
"239" "grund" 305 263
"240" "scharf" 106 100
"241" "adlerblick" 1 1
"242" "weich" 64 63
"243" "vaterherz" 2 2
"244" "wissen" 1845 1052
"245" "bewusst" 36 35
"246" "befehl" 84 72
"247" "infanterie" 11 9
"248" "cavalerie" 10 8
"249" "uniform" 46 40
"250" "glauben" 858 623
"251" "capitän" 186 81
"252" "lieutenant" 135 79
"253" "aussprechen" 101 97
"254" "original" 8 8
"255" "theure" 24 23
"256" "ach" 297 245
"257" "rechnen" 46 44
"258" "eröffnung" 4 4
"259" "auge" 1370 889
"260" "mädchen" 721 437
"261" "brechen" 226 213
"262" "lache" 85 77
"263" "lachen" 335 258
"264" "fremde" 124 95
"265" "gesund" 71 67
"266" "vernunft" 59 55
"267" "zweifel" 133 121
"268" "ergreifen" 174 156
"269" "lebhaft" 167 162
"270" "aufklärung" 16 16
"271" "gestehen" 184 168
"272" "zufall" 97 79
"273" "vorsehung" 31 26
"274" "erlebnis" 9 9
"275" "verantwortung" 7 7
"276" "liebesgeschichte" 7 6
"277" "besonder" 67 65
"278" "art" 351 306
"279" "lachlustige" 1 1
"280" "richten" 217 200
"281" "stolz" 208 181
"282" "vierzehn" 53 45
"283" "vertrauen" 97 92
"284" "ding" 276 248
"285" "gegenwart" 103 96
"286" "verhandeln" 6 6
"287" "wünschen" 245 208
"288" "mama" 59 42
"289" "roth" 68 65
"290" "wolke" 76 63
"291" "sonnenuntergang" 11 10
"292" "blanche" 34 17
"293" "planchette" 1 1
"294" "liebling" 26 25
"295" "clavier" 7 5
"296" "artig" 32 28
"297" "verzogen" 7 7
"298" "kind" 955 537
"299" "eifrig" 48 47
"300" "üben" 40 35
"301" "energie" 22 22
"302" "mäßigte" 1 1
"303" "musik" 74 66
"304" "sanft" 174 155
"305" "begleitung" 38 34
"306" "unterhaltung" 75 71
"307" "bilden" 105 97
"308" "erzählung" 112 93
"309" "verfolgen" 99 91
"310" "entgehen" 54 52
"311" "wesentlich" 8 8
"312" "stelle" 265 226
"313" "begreifen" 146 127
"314" "wundern" 60 59
"315" "sclavin" 2 2
"316" "antoinettens" 3 3
"317" "ansehen" 208 184
"318" "zehntel" 2 2
"319" "heuen" 61 57
"320" "tag" 1380 842
