"word" "word.freq" "doc.freq"
"226" "glüht" 7 7
"227" "feuer" 297 242
"228" "ehrgeizes" 4 4
"229" "stark" 119 114
"230" "schwach" 78 74
"231" "sinn" 226 207
"232" "stirn" 225 203
"233" "niedrige" 18 18
"234" "decke" 61 57
"235" "fährt" 37 34
"236" "verlaßt" 8 8
"237" "vergißt" 18 18
"238" "nabob" 2 2
"239" "gewiß" 496 417
"240" "heiße" 59 57
"241" "lachte" 387 325
"242" "gewohnheit" 81 79
"243" "schöne" 421 371
"244" "frau" 2083 964
"245" "muhmen" 3 3
"246" "wißt" 87 75
"247" "gevatter" 36 28
"248" "hält" 120 112
"249" "bursch" 129 98
"250" "groschen" 32 25
"251" "miethe" 9 8
"252" "erkerkammer" 1 1
"253" "gezahlt" 3 3
"254" "hofft" 8 8
"255" "unsern" 181 158
"256" "lieben" 265 232
"257" "mahnte" 20 20
"258" "thüre" 380 295
"259" "warf" 509 456
"260" "glaube" 239 224
"261" "treppe" 237 189
"262" "angedenken" 7 7
"263" "unvergeßlich" 2 2
"264" "commers" 1 1
"265" "laterne" 51 37
"266" "hausthür" 46 43
"267" "öffnete" 238 223
"268" "hals" 193 180
"269" "rausch" 25 25
"270" "vetter" 312 123
"271" "hübsche" 49 48
"272" "magd" 152 93
"273" "meint" 116 106
"274" "liebe" 1060 713
"275" "frauen" 221 186
"276" "schönen" 456 403
"277" "bewundert" 22 22
"278" "pferd" 133 100
"279" "fenster" 600 424
"280" "tummeln" 4 4
"281" "gewonnen" 93 88
"282" "trotz" 299 279
"283" "lästerungen" 3 3
"284" "weiber" 131 112
"285" "versteht" 102 96
"286" "gefunden" 278 249
"287" "wohlgesprochen" 1 1
"288" "leiter" 37 28
"289" "galgen" 58 47
"290" "unrecht" 154 139
"291" "fuhr" 955 762
"292" "uebermüthig" 2 2
"293" "lieb" 289 239
"294" "flott" 8 8
"295" "lebt" 85 79
"296" "student" 35 22
"297" "schuldig" 99 87
"298" "wirthschaftet" 3 3
"299" "wenigen" 135 131
"300" "haus" 976 737
"301" "gott" 1003 693
"302" "erhalte" 16 16
"303" "leute" 655 535
"304" "eitel" 24 22
"305" "verliebt" 43 37
"306" "wort" 803 652
"307" "gebe" 112 107
"308" "grund" 245 233
"309" "aufgeräumte" 1 1
"310" "wirth" 154 110
"311" "vornehm" 29 29
"312" "geltend" 45 44
"313" "reich" 196 168
"314" "gelde" 36 34
"315" "anzufangen" 27 27
"316" "gelehrt" 27 26
"317" "klug" 87 83
"318" "duckmäuserig" 1 1
"319" "pfui" 17 17
"320" "mensch" 579 471
"321" "cavalier" 18 15
"322" "schlüge" 7 7
"323" "scharfe" 29 29
"324" "klinge" 11 10
"325" "temperament" 5 5
"326" "vernarrt" 8 8
"327" "gehänselt" 3 3
"328" "verdient" 84 80
"329" "temperamente" 2 2
"330" "zuwider" 31 30
"331" "königsberger" 4 4
"332" "studenten" 36 26
"333" "schätze" 44 40
"334" "schönheit" 177 145
"335" "klugheit" 43 35
"336" "gelahrtheit" 1 1
"337" "vettern" 18 16
"338" "ungeachtet" 31 30
"339" "bringt's" 2 2
"340" "oekonomie" 6 3
"341" "verstehe" 71 63
"342" "markt" 56 46
"343" "bringt" 107 97
"344" "zug" 150 130
"345" "schallten" 7 7
"346" "ferne" 199 184
"347" "menge" 159 140
"348" "verlor" 92 86
"349" "folgten" 80 75
"350" "comitate" 1 1
"351" "vors" 26 24
"352" "thor" 88 77
"353" "nachhausegehen" 4 4
"354" "begleitete" 72 70
"355" "recht" 1252 918
"356" "feil" 9 9
"357" "führt" 114 111
"358" "fortuna" 5 4
"359" "geschrieben" 138 114
"360" "licht" 281 244
"361" "leuchten" 21 20
"362" "leuten" 193 187
"363" "keller" 69 52
"364" "sarmate" 2 2
"365" "gedankenlaufe" 1 1
"366" "fortsetzung" 24 23
"367" "gesprächs" 22 22
"368" "kümmerte" 42 42
"369" "sammelt" 8 8
"370" "talenten" 5 5
"371" "geld" 396 283
"372" "muth" 210 195
"373" "land" 233 203
"374" "gestaltet" 10 10
"375" "handvoll" 7 7
"376" "deutsche" 74 65
"377" "zufall" 83 82
"378" "handelsgeist" 1 1
