"word" "word.freq" "doc.freq"
"227" "verlassen" 1185 1025
"228" "vergessen" 879 772
"229" "nabob" 2 2
"230" "lachen" 1574 1166
"231" "gewohnheit" 172 164
"232" "schön" 2909 2010
"233" "frau" 4883 2201
"234" "muhmen" 3 3
"235" "gevatter" 49 36
"236" "bursch" 182 144
"237" "groschen" 46 37
"238" "miethe" 12 11
"239" "erkerkammer" 1 1
"240" "zahlen" 113 107
"241" "hoffen" 481 442
"242" "lieb" 2374 1640
"243" "mahnen" 98 94
"244" "thüre" 724 554
"245" "glauben" 2279 1732
"246" "treppe" 491 398
"247" "angedenken" 15 15
"248" "unvergesslich" 18 15
"249" "commers" 2 2
"250" "laterne" 114 84
"251" "hausthür" 121 105
"252" "öffnen" 771 687
"253" "hals" 475 437
"254" "rausch" 58 57
"255" "vetter" 546 274
"256" "magd" 336 240
"257" "lieben" 1234 852
"258" "bewundern" 109 107
"259" "tummeln" 24 24
"260" "trotz" 621 571
"261" "lästerung" 10 10
"262" "weib" 1289 860
"263" "wohlsprechen" 1 1
"264" "leiter" 83 55
"265" "galgen" 77 61
"266" "unrecht" 348 302
"267" "uebermüthig" 2 2
"268" "flott" 18 17
"269" "student" 91 62
"270" "schuldig" 200 179
"271" "wirthschaftet" 3 3
"272" "haus" 4613 2731
"273" "gott" 2508 1608
"274" "leute" 1706 1299
"275" "eitel" 95 88
"276" "verlieben" 110 95
"277" "wort" 3639 2514
"278" "grund" 841 742
"279" "aufgeräumt" 8 8
"280" "wirth" 316 219
"281" "vornehm" 338 305
"282" "geltend" 68 65
"283" "geld" 892 601
"284" "lehren" 175 159
"285" "klug" 365 335
"286" "duckmäuserig" 1 1
"287" "pfui" 33 32
"288" "mensch" 2649 1867
"289" "cavalier" 41 37
"290" "schlagen" 1408 1172
"291" "scharf" 496 465
"292" "klinge" 32 31
"293" "temperament" 26 25
"294" "vernarren" 10 10
"295" "hänseln" 5 5
"296" "verdienen" 302 276
"297" "zuwider" 49 48
"298" "königsberger" 4 4
"299" "schatz" 284 219
"300" "schönheit" 337 287
"301" "klugheit" 67 58
"302" "gelahrtheit" 1 1
"303" "ungeachtet" 44 43
"304" "oekonomie" 10 6
"305" "gabe" 100 92
"306" "markt" 154 130
"307" "zug" 807 684
"308" "schallen" 108 103
"309" "ferne" 310 284
"310" "menge" 305 261
"311" "verlieren" 878 770
"312" "folgen" 996 877
"313" "comitate" 1 1
"314" "thor" 168 148
"315" "nachhausegehen" 4 4
"316" "begleiten" 372 347
"317" "recht" 3516 2380
"318" "feil" 14 14
"319" "fortuna" 5 4
"320" "geschrieben" 48 48
"321" "stehen" 5428 3396
"322" "licht" 909 734
"323" "leuchten" 258 245
"324" "keller" 113 89
"325" "sarmate" 2 2
"326" "gedankenlaufe" 1 1
"327" "fortsetzung" 35 34
"328" "gespräch" 617 544
"329" "kümmern" 187 181
"330" "sammeln" 174 164
"331" "talent" 117 97
"332" "muth" 380 350
"333" "land" 874 688
"334" "gestalten" 206 190
"335" "handvoll" 14 14
"336" "deutsche" 126 105
"337" "zufall" 188 173
"338" "handelsgeist" 1 1
"339" "fanatismus" 4 4
"340" "vorvater" 3 3
"341" "küste" 62 50
"342" "aussä'te" 1 1
"343" "zwingen" 307 282
"344" "lettisch" 5 5
"345" "finnisch" 2 2
"346" "bevölkerung" 36 34
"347" "zusammenhalten" 39 37
"348" "werk" 274 247
"349" "verdanken" 80 75
"350" "existenz" 56 54
"351" "wohlstand" 39 37
"352" "berufen" 65 63
"353" "wirthschaften" 11 11
