"word" "word.freq" "doc.freq"
"234" "auge" 345 306
"235" "aufschaut" 1 1
"236" "bursch" 53 46
"237" "leuten" 149 137
"238" "giltst" 1 1
"239" "vergelt" 5 4
"240" "dir's" 74 64
"241" "sündhaft" 6 5
"242" "gutheit" 2 2
"243" "himmelschreiend" 5 5
"244" "unrecht" 134 111
"245" "buben" 37 31
"246" "geschmälert" 1 1
"247" "eingang" 35 35
"248" "stutzig" 5 5
"249" "angestochen" 2 2
"250" "vortheil" 25 25
"251" "voranstellt" 1 1
"252" "brauch" 57 53
"253" "oberst" 64 38
"254" "wasserkübel" 2 2
"255" "gewiesen" 14 14
"256" "hand" 1972 1298
"257" "wäscht" 3 3
"258" "scheuleder" 1 1
"259" "vors" 16 16
"260" "aug" 21 20
"261" "seh" 60 45
"262" "knapp" 12 12
"263" "hantiert" 1 1
"264" "richtigen" 21 21
"265" "zug" 147 125
"266" "hüll" 2 2
"267" "nebel" 63 52
"268" "bergspitz" 1 1
"269" "vermeint" 5 5
"270" "ungesundes" 1 1
"271" "wetter" 104 84
"272" "fing" 178 166
"273" "husten" 5 4
"274" "rauchen" 11 10
"275" "tage" 684 562
"276" "bessern" 26 26
"277" "kaufen" 39 36
"278" "poldel" 11 8
"279" "schüssel" 22 17
"280" "liegen" 188 179
"281" "long" 1 1
"282" "dato" 4 3
"283" "arm" 535 423
"284" "gefressen" 3 3
"285" "fressen" 9 9
"286" "erarbeitet" 2 2
"287" "gedeiht" 10 10
"288" "freut" 48 44
"289" "kerl" 79 67
"290" "älter" 31 31
"291" "gesund" 68 58
"292" "müßt" 106 88
"293" "verkehrten" 12 12
"294" "dingen" 88 86
"295" "zugehen" 12 10
"296" "grube" 12 11
"297" "nachsehen" 15 15
"298" "weißt's" 3 3
"299" "aufs" 245 227
"300" "heirathen" 107 79
"301" "eingelassen" 12 12
"302" "werd's" 4 4
"303" "meinte" 326 274
"304" "überkommt" 6 6
"305" "male" 226 210
"306" "blinzelte" 17 17
"307" "schief" 12 12
"308" "sagst" 78 67
"309" "glauben" 330 293
"310" "necken" 5 5
"311" "würd" 46 33
"312" "aufnehmen" 22 22
"313" "uebles" 4 4
"314" "poldel's" 2 2
"315" "wiege" 41 28
"316" "jahr" 231 189
"317" "merkte" 69 65
"318" "frühere" 22 22
"319" "erwartete" 65 63
"320" "sonderlich" 23 23
"321" "streng" 62 54
"322" "verbieten" 25 23
"323" "hob" 259 233
"324" "weinen" 142 118
"325" "ueberquerste" 1 1
"326" "geschweig" 5 5
"327" "wußt" 14 14
"328" "zuweg" 2 2
"329" "angestiftet" 3 3
"330" "ärgerte" 25 22
"331" "argen" 9 9
"332" "meinung" 114 104
"333" "bewußt" 46 46
"334" "begütigendes" 1 1
"335" "wort" 860 673
"336" "beigefallen" 1 1
"337" "rohr" 8 7
"338" "handsam" 2 2
"339" "schellenrodel" 1 1
"340" "klug" 82 74
"341" "ausgesehen" 17 17
"342" "schluchzte" 70 65
"343" "percailenen" 1 1
"344" "fürtuch" 1 1
"345" "heim" 108 100
"346" "aelterer" 1 1
"347" "erlaubt" 38 36
"348" "unfeine" 1 1
"349" "anhören" 19 19
"350" "verhetzen" 1 1
"351" "gewiß" 364 310
"352" "ausbleibt" 2 2
"353" "einzigen" 111 106
"354" "unverdorben" 2 2
"355" "fried" 3 3
"356" "vergebung" 18 17
"357" "schuld" 242 206
"358" "komm" 195 158
"359" "frag" 73 63
"360" "lieben" 228 197
"361" "herrgott" 63 57
"362" "hingeben" 13 13
"363" "geistlich" 3 2
"364" "deinetwegen" 7 7
"365" "denk" 80 69
"366" "leichteste" 3 3
"367" "weis" 8 8
"368" "sünden" 37 33
"369" "ledig" 30 25
"370" "fremdes" 11 11
"371" "büßen" 17 16
"372" "läßt" 244 216
"373" "leiblichen" 8 8
"374" "duck" 1 1
"375" "anzusehen" 65 64
"376" "überlegen" 41 40
"377" "harte" 31 30
"378" "nuß" 3 3
"379" "kern" 6 6
"380" "hitzig" 12 11
"381" "blut" 257 212
"382" "aufgestanden" 31 30
"383" "wörtelt" 1 1
"384" "daherreden" 4 4
"385" "arg" 53 50
"386" "wissen" 606 509
"387" "hallodereien" 1 1
"388" "verfallen" 20 20
"389" "man's" 39 35
"390" "führte" 290 271
"391" "gottes" 179 152
"392" "hülfe" 130 124
"393" "frommer" 17 16
"394" "aufsicht" 10 9
"395" "verhüten" 11 11
"396" "hineingewischt" 1 1
"397" "rockzipfel" 3 2
"398" "hineinschwänzen" 1 1
"399" "hurtig" 9 9
"400" "wiesel" 3 3
"401" "feld" 77 71
"402" "rain" 7 7
"403" "flink" 13 13
"404" "unruhiges" 3 3
"405" "gicht" 4 4
"406" "leiden" 122 108
"407" "mutterseelenallein" 7 7
"408" "schreibt" 33 28
"409" "unverhoffter" 1 1
"410" "worte" 617 515
"411" "neuartig" 1 1
"412" "aufzuhorchen" 1 1
"413" "brauchte" 106 102
"414" "konnt" 19 17
"415" "unsers" 15 14
"416" "vormund" 14 11
"417" "kirchendiener" 3 3
"418" "pfarre" 11 9
"419" "richtiger" 19 19
"420" "betbruder" 1 1
"421" "frommen" 73 65
"422" "vorsatz" 17 17
"423" "gottgefällige" 1 1
"424" "werk" 65 62
"425" "fleißig" 42 39
"426" "bestärkt" 10 10
"427" "art" 371 333
"428" "mengen" 1 1
"429" "fremder" 55 52
"430" "angelegenheiten" 28 27
"431" "frommheit" 2 2
"432" "ernst" 331 239
"433" "fänd" 3 2
"434" "vollauf" 17 17
"435" "freilich" 457 399
"436" "irren" 24 22
"437" "merkt" 28 27
"438" "käm" 16 14
"439" "zurecht" 58 53
"440" "hergeht" 2 2
"441" "fremdem" 10 10
"442" "dünger" 4 4
"443" "häufelt" 1 1
"444" "vorsehen" 2 2
"445" "gelaufen" 20 19
"446" "mist" 2 2
"447" "gewachsen" 32 31
"448" "beschlossene" 4 4
"449" "einverstanden" 27 23
"450" "bub" 11 10
"451" "vermöcht" 1 1
"452" "dummen" 29 27
"453" "einzureden" 8 8
"454" "laßt" 110 95
"455" "spiel" 124 110
"456" "hof" 212 189
"457" "unheil" 39 39
"458" "schiebt" 6 6
"459" "sandkorn" 2 1
"460" "schuhe" 13 12
"461" "spöttelten" 2 2
"462" "füße" 89 84
"463" "heil" 22 22
"464" "schieben" 15 15
"465" "heiligmäßigen" 1 1
"466" "gottgefälligen" 1 1
"467" "auffinden" 6 6
"468" "wußte" 757 604
"469" "pechleitner-poldel" 2 2
"470" "kamen" 275 249
"471" "zugestiegen" 1 1
"472" "hoffärtig" 6 5
"473" "ältesten" 17 17
"474" "leute" 558 442
"475" "baten" 2 1
"476" "weihen" 8 8
"477" "gebet" 56 50
"478" "einzuschließen" 2 2
"479" "erfahren" 186 173
"480" "wahr" 305 276
"481" "geistlicher" 25 17
"482" "heiligen" 156 130
"483" "verkehre" 8 8
"484" "gedanken" 544 457
"485" "künftige" 10 10
"486" "geistlichkeit" 7 6
"487" "stehen" 492 440
"488" "erinnern" 66 65
"489" "garten" 246 192
"490" "gesträuchen" 1 1
"491" "schwarzen" 257 208
"492" "blattläuse" 1 1
"493" "hollunderbusch" 1 1
"494" "mönche" 12 12
"495" "grünen" 99 91
"496" "rosen" 44 35
"497" "stauden" 4 4
"498" "weltgeistliche" 1 1
"499" "ameisen" 2 1
"500" "zuliefen" 2 2
"501" "laien" 5 4
"502" "aufdringlich" 6 6
"503" "fühlhörnern" 2 2
"504" "herumstrichen" 1 1
"505" "segen" 65 58
"506" "absolution" 4 4
"507" "dummer" 10 10
"508" "melken" 3 3
"509" "pfaffen" 19 14
"510" "hielte" 6 6
"511" "spieß" 13 13
"512" "umkehrtest" 1 1
"513" "ließest" 6 6
"514" "blattlaus" 1 1
"515" "säh" 6 6
"516" "richtiges" 4 4
"517" "gleichniß" 5 5
"518" "stromte" 1 1
"519" "sommer" 72 70
"520" "verstund" 2 2
"521" "bischen" 73 67
"522" "taglöhnern" 2 2
"523" "draußen" 339 288
"524" "wiese" 38 34
"525" "heuete" 1 1
"526" "felde" 26 25
"527" "schnitt" 61 61
"528" "geschah" 116 109
"529" "öftern" 2 2
"530" "unversehens" 11 11
"531" "busch" 14 13
"532" "hervorbrach" 4 4
"533" "vorpredigte" 1 1
"534" "faulen" 4 4
"535" "volk" 139 108
"536" "schaarten" 3 3
"537" "hörten" 49 48
"538" "andächtig" 12 12
"539" "ausbündige" 1 1
"540" "unsinniges" 4 4
"541" "herzen" 561 479
"542" "gehend" 8 8
"543" "wegs" 19 19
"544" "straße" 307 249
"545" "kopf" 977 748
"546" "führt" 99 92
"547" "umweg" 15 15
"548" "seitwärts" 47 44
"549" "erschrak" 70 69
"550" "ende" 507 460
"551" "feldes" 6 6
"552" "anheben" 7 6
"553" "hörte" 562 472
"554" "herr" 1981 871
"555" "jesus" 29 25
"556" "jüngern" 12 12
"557" "merkt's" 5 5
"558" "tagwerkerleute" 1 1
"559" "volles" 14 14
"560" "hände" 664 531
"561" "hosentaschen" 4 4
"562" "warten" 124 109
"563" "drüben" 178 148
"564" "amen" 23 20
"565" "froh" 98 95
"566" "herbstanfang" 1 1
"567" "wagen" 387 284
"568" "seminar" 3 2
"569" "fuhren" 57 54
"570" "brav" 45 38
"571" "pfaff" 7 5
"572" "lachte" 404 354
"573" "fuhr" 832 668
"574" "bang" 26 23
"575" "blind" 35 35
"576" "ziel" 75 70
"577" "schuljung" 1 1
"578" "courage" 10 9
"579" "tischlern" 1 1
"580" "weben" 7 6
"581" "schneidern" 2 2
"582" "pfarrer" 190 100
"583" "kirche" 258 166
"584" "ausmacht" 5 5
"585" "wegkriegen" 1 1
"586" "gerannt" 6 6
"587" "heiles" 3 3
"588" "fleckel" 1 1
"589" "schreit" 41 34
"590" "hilf" 30 24
"591" "auswissen" 1 1
"592" "wundeste" 1 1
"593" "herausfinden" 4 4
"594" "gleichschauen" 1 1
"595" "langt" 8 7
"596" "himmel" 421 375
"597" "faßte" 207 188
"598" "herrgotts" 4 4
"599" "gebrest" 1 1
"600" "erlernen" 7 7
"601" "lob" 28 28
"602" "gewänd" 1 1
"603" "alten" 914 674
"604" "eisgrauen" 2 2
"605" "mensch" 450 391
"606" "thöricht" 20 20
"607" "verlauft" 1 1
"608" "hundertmal" 14 14
"609" "regel" 30 29
"610" "hofft" 7 5
"611" "ausnahm" 12 12
"612" "arzt" 66 52
"613" "kranke" 34 29
"614" "doctert" 1 1
"615" "welch" 86 79
"616" "weges" 73 63
"617" "dahinfährt" 2 2
"618" "bluteigener" 1 1
"619" "sitzbrett" 1 1
"620" "gejagt" 14 14
"621" "sechszehn" 3 3
"622" "umgekehrten" 4 4
"623" "heißt" 268 229
"624" "sechser" 1 1
"625" "einser" 1 1
"626" "gelegenheit" 180 171
"627" "schickte" 48 48
"628" "stadt" 585 431
"629" "ginge" 61 58
"630" "ansatz" 4 4
"631" "heiligenschein" 5 5
"632" "wär's" 49 47
