"volume";"invert_deltamean";"deltamean";"indegree (%)";"epoch";"id"
"1";"0.9320596846339209";"1.07289266608797";"0";"RO";"DNS_Arnim"
"4";"1.036709812843462";"0.964590078738837";"9.09090909090909";"RO";"DNS_Berthold"
"1";"0.9211970001361427";"1.08554413426467";"0";"RO";"DNS_Brentano"
"3";"0.8971580819952856";"1.11463076582445";"0";"RO";"DNS_Eichendorff"
"6";"0.9746170812534143";"1.02604399126059";"2.5974025974025974";"B";"DNS_Gall"
"1";"0.895278641173253";"1.11697068824239";"0";"RO";"DNS_Goethe"
"5";"0.9801673797249395";"1.02023391176375";"0";"B";"DNS_Grillparzer"
"6";"0.9463760475135713";"1.05666241514387";"1.2987012987012987";"RE";"DNS_Grimm"
"4";"1.0157838296734085";"0.984461428492632";"5.194805194805195";"RO";"DNS_Hauff"
"1";"0.9826409327669674";"1.01766572778945";"2.5974025974025974";"RO";"DNS_Hoffmann"
"5";"1.0948831431277037";"0.913339479447409";"19.48051948051948";"B";"DNS_Immermann"
"3";"1.0416264131257067";"0.960037099096984";"7.792207792207792";"RE";"DNS_Keller"
"4";"0.9888047777137865";"1.01132197430528";"2.5974025974025974";"RE";"DNS_Kinkel_Margret"
"1";"0.8555686927897549";"1.1688132214601";"0";"RO";"DNS_Kleist"
"5";"0.9561695287160437";"1.04583964450615";"0";"RO";"DNS_Kopisch_Karnevalsfest"
"6";"1.005505327638303";"0.994524815048734";"3.896103896103896";"NA";"DNS_Kruse"
"5";"0.9795024035234248";"1.02092654025436";"2.5974025974025974";"B";"DNS_Lohmann"
"6";"1.0603564777639258";"0.943079069134179";"14.285714285714285";"JD";"DNS_Meissner"
"4";"1.0823925861008281";"0.923879203203307";"14.285714285714285";"B";"DNS_Moerike"
"2";"0.9632315942647919";"1.0381719266209";"1.2987012987012987";"RO";"DNS_Rumohr"
"2";"0.9790974723739119";"1.0213487708996";"2.5974025974025974";"B";"DNS_Stifter"
"2";"1.014999384960782";"0.985222271872252";"5.194805194805195";"RO";"DNS_Tieck_Gemaelde"
"3";"0.987417029157877";"1.01274331966186";"5.194805194805195";"RO";"DNS_Tieck_Lebens"
"3";"0.948370534247325";"1.05444018333367";"0";"RE";"DNS_Widmann"
"2";"0.7460460036303036";"1.34039991519818";"0";"RE";"DNS_Wolf"
