"" "DNS_Arnim" "DNS_Berthold" "DNS_Brentano" "DNS_Eichendorff" "DNS_Gall" "DNS_Goethe" "DNS_Grillparzer" "DNS_Grimm" "DNS_Hauff" "DNS_Hoffmann" "DNS_Immermann" "DNS_Keller" "DNS_Kinkel_Margret" "DNS_Kleist" "DNS_Kopisch_Karnevalsfest" "DNS_Kruse" "DNS_Lohmann" "DNS_Meissner" "DNS_Moerike" "DNS_Rumohr" "DNS_Stifter" "DNS_Tieck_Gemaelde" "DNS_Tieck_Lebens" "DNS_Widmann" "DNS_Wolf"
"DNS_Arnim" 0 1.06881003103422 1.10056781710492 1.16238488331486 1.0544842885096 1.20076771096878 1.11584182218151 1.17739438685891 1.12977046646064 1.0937648188447 0.949839794315451 1.1112578318764 1.03846764873524 1.10697845456335 1.14033428448891 1.05914849220675 1.11539626641689 1.02252955377748 1.05924391295709 1.09762296926883 1.09044477055471 1.09074584079801 1.11771008216016 1.21037379489097 1.50843672991099
"DNS_Berthold" 1.06881003103422 0 1.00372883836674 0.997223618313296 0.990209772668899 1.14632341878111 0.934654742897432 0.847824506192472 0.980589265366719 1.03856671830819 0.870253596886891 0.855609716776981 0.993016751572115 1.21270875719725 0.981555863105702 1.03026058452341 0.98692073073026 0.846176191529451 0.898442700039628 1.06005676258327 1.01119706743152 1.06454332011244 1.06411872208096 0.933955767450819 1.29800452452115
"DNS_Brentano" 1.10056781710492 1.00372883836674 0 1.23160181778367 1.08557099219441 1.23544033997459 1.10446313143749 1.18453248742082 1.03120919640946 1.07927437544882 0.987209694324645 1.11845502300364 1.1491967684966 1.24340819452568 1.19355672713342 1.14951832321158 1.02449330449478 0.984374589721414 1.07288344247286 1.19730046109511 1.14754708493317 1.09143252657776 1.1184620343681 1.15032564323528 1.45405054288179
"DNS_Eichendorff" 1.16238488331486 0.997223618313296 1.23160181778367 0 1.23030518623521 1.28189419013374 1.12577298663352 1.18368649048195 1.06254522277366 1.11125954561096 1.11614571490333 1.09411189701322 1.01403028249265 1.25876410898537 1.10791274718782 1.20095837588183 1.28426262008044 1.05859853128957 0.951909415120804 1.2101119692907 1.16877461385595 1.24915949146587 1.20931606270718 1.01912958099271 1.53590979306306
"DNS_Gall" 1.0544842885096 0.990209772668899 1.08557099219441 1.23030518623521 0 1.19817295662675 1.0656409160732 1.08333033008785 1.01593082932218 1.05667688975044 0.904910863032196 0.997319132544265 1.00342265779193 1.20592760948401 1.12724516782754 0.997121475456112 0.971672604416976 0.977888334802178 0.98618851265701 1.05834633165397 1.07713054017257 0.987772589687766 1.06495329445083 1.09925544374992 1.41162306231892
"DNS_Goethe" 1.20076771096878 1.14632341878111 1.23544033997459 1.28189419013374 1.19817295662675 0 1.07356616767363 1.20468985533993 1.12368206885919 1.15033509473976 0.984337180487805 1.08357767575353 1.23085193797994 1.36965259551964 1.19701264368964 1.10384311735061 1.154214822267 1.12830307314192 0.997162828743151 1.18981582306743 1.10982791857415 1.07157848690683 1.05314605985904 1.24939403504515 1.38667720457636
"DNS_Grillparzer" 1.11584182218151 0.934654742897432 1.10446313143749 1.12577298663352 1.0656409160732 1.07356616767363 0 1.07144672408119 1.07577432301543 1.02595304695862 0.899509092075731 0.994115955453325 0.998747039017409 1.21149600400189 1.10931326469594 1.06039269371967 1.07803124514708 0.952662055773814 0.903910713555274 1.08881350307493 1.017158730744 1.07887296740438 1.0882595778578 1.0538936889755 1.37755740164489
"DNS_Grimm" 1.17739438685891 0.847824506192472 1.18453248742082 1.18368649048195 1.08333033008785 1.20468985533993 1.07144672408119 0 1.08191156063585 1.13814563444437 0.968167346032484 0.943173426714479 1.06845884600894 1.24177211447446 1.15716265800283 1.08337188999968 1.06835053093245 0.962194694986938 1.00702233777517 1.1776311043322 1.04367153415654 1.10510038180753 1.1739300272374 1.04470620495555 1.39888530563666
"DNS_Hauff" 1.12977046646064 0.980589265366719 1.03120919640946 1.06254522277366 1.01593082932218 1.12368206885919 1.07577432301543 1.08191156063585 0 1.04599997632791 0.913416179886825 0.916820117455171 1.02860537451466 1.26787330758264 0.98059505606621 1.02649303217971 0.980155214731584 0.91526475546932 0.877761215733127 1.05984532592133 1.01179856702395 0.9230916199069 0.90145560842554 0.97501949812131 1.28592793012648
"DNS_Hoffmann" 1.0937648188447 1.03856671830819 1.07927437544882 1.11125954561096 1.05667688975044 1.15033509473976 1.02595304695862 1.13814563444437 1.04599997632791 0 0.907550917748244 1.05357136066931 0.992850320331823 1.09650338605393 1.08635544208501 0.962129770642316 1.02790795656699 0.90376262965815 0.927311824817889 1.01059196818175 1.08328157786554 1.00750595667697 1.06638137060547 1.1334451221109 1.44251749028808
