"word" "word.freq" "doc.freq"
"225" "burschen" 434 332
"226" "glüht" 11 11
"227" "feuer" 678 558
"228" "ehrgeizes" 6 6
"229" "stark" 335 318
"230" "schwach" 167 159
"231" "sinn" 479 446
"232" "stirn" 697 622
"233" "niedrige" 45 45
"234" "decke" 168 155
"235" "fährt" 105 99
"236" "verlaßt" 11 11
"237" "vergißt" 53 52
"238" "nabob" 2 2
"239" "gewiß" 1158 989
"240" "heiße" 169 158
"241" "lachte" 919 786
"242" "gewohnheit" 212 201
"243" "schöne" 946 832
"244" "frau" 5941 2709
"245" "muhmen" 3 3
"246" "wißt" 241 198
"247" "gevatter" 61 50
"248" "hält" 305 288
"249" "bursch" 207 163
"250" "groschen" 50 40
"251" "miethe" 19 18
"252" "erkerkammer" 1 1
"253" "gezahlt" 15 15
"254" "hofft" 26 24
"255" "unsern" 399 361
"256" "lieben" 738 624
"257" "mahnte" 45 45
"258" "thüre" 959 727
"259" "warf" 1312 1158
"260" "glaube" 707 641
"261" "treppe" 547 446
"262" "angedenken" 19 19
"263" "unvergeßlich" 9 9
"264" "commers" 2 2
"265" "laterne" 114 80
"266" "hausthür" 139 124
"267" "öffnete" 557 518
"268" "hals" 485 454
"269" "rausch" 52 51
"270" "vetter" 613 290
"271" "hübsche" 169 165
"272" "magd" 288 199
"273" "meint" 263 240
"274" "liebe" 2808 1830
"275" "frauen" 648 542
"276" "schönen" 1060 937
"277" "bewundert" 42 42
"278" "pferd" 507 343
"279" "fenster" 1428 1009
"280" "tummeln" 8 8
"281" "gewonnen" 180 173
"282" "trotz" 784 721
"283" "lästerungen" 5 5
"284" "weiber" 293 247
"285" "versteht" 249 227
"286" "gefunden" 675 615
"287" "wohlgesprochen" 1 1
"288" "leiter" 69 47
"289" "galgen" 83 69
"290" "unrecht" 375 318
"291" "fuhr" 2327 1873
"292" "uebermüthig" 2 2
"293" "lieb" 664 535
"294" "flott" 12 12
"295" "lebt" 240 220
"296" "student" 47 34
"297" "schuldig" 248 220
"298" "wirthschaftet" 3 3
"299" "wenigen" 301 289
"300" "haus" 2207 1656
"301" "gott" 2736 1844
"302" "erhalte" 22 22
"303" "leute" 1575 1263
"304" "eitel" 61 56
"305" "verliebt" 162 140
"306" "wort" 2141 1713
"307" "gebe" 294 286
"308" "grund" 573 528
"309" "aufgeräumte" 1 1
"310" "wirth" 350 236
"311" "vornehm" 76 73
"312" "geltend" 80 77
"313" "reich" 396 344
"314" "gelde" 84 77
"315" "anzufangen" 56 56
"316" "gelehrt" 59 58
"317" "klug" 190 177
"318" "duckmäuserig" 1 1
"319" "pfui" 51 46
"320" "mensch" 1287 1082
"321" "cavalier" 49 44
"322" "schlüge" 13 13
"323" "scharfe" 65 65
"324" "klinge" 22 21
"325" "temperament" 21 21
"326" "vernarrt" 13 13
"327" "gehänselt" 5 5
"328" "verdient" 195 187
"329" "temperamente" 3 3
"330" "zuwider" 60 59
"331" "königsberger" 7 7
"332" "studenten" 53 43
"333" "schätze" 111 98
"334" "schönheit" 426 367
"335" "klugheit" 82 72
"336" "gelahrtheit" 2 2
"337" "vettern" 39 35
"338" "ungeachtet" 56 55
"339" "bringt's" 5 5
"340" "oekonomie" 11 8
"341" "verstehe" 190 170
"342" "markt" 109 94
"343" "bringt" 279 257
"344" "zug" 349 305
"345" "schallten" 13 13
"346" "ferne" 419 388
"347" "menge" 413 356
"348" "verlor" 215 202
"349" "folgten" 185 176
"350" "comitate" 2 2
"351" "vors" 43 41
"352" "thor" 206 182
"353" "nachhausegehen" 6 6
"354" "begleitete" 160 157
"355" "recht" 3194 2320
"356" "feil" 17 17
"357" "führt" 275 260
"358" "fortuna" 6 5
"359" "geschrieben" 320 282
"360" "licht" 739 637
"361" "leuchten" 61 57
"362" "leuten" 444 415
"363" "keller" 114 91
"364" "sarmate" 2 2
"365" "gedankenlaufe" 1 1
"366" "fortsetzung" 37 36
"367" "gesprächs" 46 46
"368" "kümmerte" 91 90
"369" "sammelt" 14 14
"370" "talenten" 7 7
"371" "geld" 1022 695
"372" "muth" 530 481
"373" "land" 498 430
"374" "gestaltet" 24 24
"375" "handvoll" 19 19
"376" "deutsche" 160 137
"377" "zufall" 254 231
"378" "handelsgeist" 1 1
"379" "fanatismus" 6 6
"380" "vorväter" 2 2
"381" "küsten" 16 15
"382" "aussä'te" 1 1
"383" "gezwungen" 135 129
"384" "lettischen" 2 2
"385" "finnischen" 2 2
"386" "bevölkerung" 44 41
