"word" "word.freq" "doc.freq"
"228" "vergessen" 468 409
"229" "nabob" 2 2
"230" "lachen" 788 571
"231" "gewohnheit" 98 95
"232" "schön" 1577 1087
"233" "frau" 2301 1080
"234" "muhmen" 3 3
"235" "gevatter" 36 25
"236" "bursch" 129 96
"237" "groschen" 32 26
"238" "miethe" 9 8
"239" "erkerkammer" 1 1
"240" "zahlen" 50 48
"241" "hoffen" 270 248
"242" "lieb" 1281 903
"243" "mahnen" 54 51
"244" "thüre" 380 295
"245" "glauben" 1227 937
"246" "treppe" 253 194
"247" "angedenken" 7 7
"248" "unvergesslich" 10 8
"249" "commers" 1 1
"250" "laterne" 61 49
"251" "hausthür" 46 44
"252" "öffnen" 401 361
"253" "hals" 253 233
"254" "rausch" 30 30
"255" "vetter" 336 141
"256" "magd" 201 131
"257" "lieben" 612 434
"258" "bewundern" 50 50
"259" "tummeln" 16 16
"260" "trotz" 313 286
"261" "lästerung" 7 7
"262" "weib" 620 413
"263" "wohlsprechen" 1 1
"264" "leiter" 48 34
"265" "galgen" 59 46
"266" "unrecht" 192 174
"267" "uebermüthig" 2 2
"268" "flott" 11 10
"269" "student" 71 42
"270" "schuldig" 111 98
"271" "wirthschaftet" 3 3
"272" "haus" 2602 1526
"273" "gott" 1261 835
"274" "leute" 885 690
"275" "eitel" 51 46
"276" "verlieben" 50 44
"277" "wort" 1836 1287
"278" "grund" 479 429
"279" "aufgeräumt" 5 5
"280" "wirth" 158 113
"281" "vornehm" 169 152
"282" "geltend" 47 46
"283" "geld" 457 318
"284" "lehren" 90 81
"285" "klug" 202 185
"286" "duckmäuserig" 1 1
"287" "pfui" 17 17
"288" "mensch" 1533 1045
"289" "cavalier" 18 16
"290" "schlagen" 774 641
"291" "scharf" 246 233
"292" "klinge" 21 20
"293" "temperament" 8 7
"294" "vernarren" 8 8
"295" "hänseln" 4 4
"296" "verdienen" 178 159
"297" "zuwider" 31 30
"298" "königsberger" 4 4
"299" "schatz" 177 126
"300" "schönheit" 187 154
"301" "klugheit" 43 35
"302" "gelahrtheit" 1 1
"303" "ungeachtet" 31 30
"304" "oekonomie" 6 3
"305" "gabe" 68 62
"306" "markt" 88 72
"307" "zug" 421 355
"308" "schallen" 59 58
"309" "ferne" 182 168
"310" "menge" 159 142
"311" "verlieren" 475 422
"312" "folgen" 574 508
"313" "comitate" 1 1
"314" "thor" 88 76
"315" "nachhausegehen" 4 4
"316" "begleiten" 216 197
"317" "recht" 1726 1206
"318" "feil" 9 9
"319" "fortuna" 5 4
"320" "geschrieben" 32 32
"321" "stehen" 2769 1740
"322" "licht" 457 377
"323" "leuchten" 117 113
"324" "keller" 75 56
"325" "sarmate" 2 2
"326" "gedankenlaufe" 1 1
"327" "fortsetzung" 25 24
"328" "gespräch" 368 326
"329" "kümmern" 108 105
"330" "sammeln" 113 108
"331" "talent" 59 49
"332" "muth" 210 197
"333" "land" 530 419
"334" "gestalten" 130 118
"335" "handvoll" 7 7
"336" "deutsche" 68 60
"337" "zufall" 99 93
"338" "handelsgeist" 1 1
"339" "fanatismus" 1 1
"340" "vorvater" 3 3
"341" "küste" 44 37
"342" "aussä'te" 1 1
"343" "zwingen" 161 148
"344" "lettisch" 1 1
"345" "finnisch" 1 1
"346" "bevölkerung" 15 15
"347" "zusammenhalten" 26 24
"348" "werk" 161 141
"349" "verdanken" 45 45
"350" "existenz" 13 13
"351" "wohlstand" 27 26
"352" "berufen" 38 37
"353" "wirthschaften" 10 10
"354" "kraft" 366 320
"355" "schützen" 114 98
"356" "einwirken" 11 11
"357" "germanisch" 3 3
"358" "einfluss" 81 76
"359" "erstrecken" 13 13
"360" "baltisch" 1 1
"361" "unermesslich" 36 32
"362" "landstrich" 4 4
"363" "asien" 8 6
"364" "reiche" 36 34
"365" "blühen" 42 38
"366" "unmittelbar" 66 61
"367" "preuße" 16 14
"368" "kur" 4 4
"369" "neuordnend" 1 1
"370" "schaffend" 5 5
"371" "regierend" 14 13
"372" "abfliegen" 2 2
"373" "bewegung" 319 295
"374" "hand" 2744 1694
"375" "begleitend" 3 3
"376" "ersetzen" 37 37
"377" "herrschaft" 83 71
"378" "ende" 581 520
"379" "tauchen" 46 45
"380" "nothwendiges" 2 2
"381" "unvermeidlich" 14 13
"382" "feld" 261 218
"383" "wild" 506 395
"384" "gährende" 1 1
"385" "form" 103 92
"386" "vaterland" 113 83
"387" "kalt" 321 292
"388" "steif" 61 58
"389" "unbequem" 16 16
"390" "wirken" 104 98
"391" "schaffen" 190 178
"392" "schwert" 79 59
"393" "ingenium" 3 3
"394" "sitte" 100 94
"395" "sprache" 158 145
"396" "erobern" 28 26
"397" "fliegen" 263 240
"398" "gelehrt" 27 25
"399" "gedanke" 792 667
"400" "soldat" 213 147
"401" "professor" 108 50
"402" "philosophie" 21 18
"403" "discurse" 3 3
"404" "welt" 1040 780
"405" "geschehen" 602 512
"406" "luft" 339 297
"407" "anstecken" 17 17
"408" "italiener" 19 12
"409" "riechen" 30 23
"410" "philosophisch" 18 15
"411" "sprung" 49 41
"412" "blaue" 6 6
"413" "miethsmann" 8 8
"414" "lustig" 296 237
"415" "wirthschafter" 2 2
"416" "pol" 13 12
"417" "pole" 13 12
"418" "russe" 15 13
"419" "finnländer" 1 1
"420" "ausgeben" 19 19
"421" "person" 243 214
"422" "profit" 5 5
"423" "zufallen" 18 17
"424" "vollkommen" 107 104
"425" "überlassen" 127 125
"426" "lust" 208 193
"427" "reden" 748 588
"428" "kurios" 10 10
"429" "unsaubern" 2 2
"430" "nation" 27 25
"431" "gerathen" 93 93
"432" "sintemal" 3 3
"433" "primo" 1 1
"434" "privilegium" 14 14
"435" "eingreifen" 14 14
"436" "secundo" 1 1
"437" "clienten" 3 3
"438" "fleißig" 74 70
"439" "angelegenheit" 60 58
"440" "philosoph" 31 28
"441" "füllen" 113 110
"442" "schluss" 53 53
"443" "gedenken" 338 319
"444" "kurländers" 1 1
"445" "fäßchen" 6 4
"446" "ungerwein" 2 2
"447" "versehn" 2 2
"448" "gelüstet's" 1 1
"449" "fass" 58 39
"450" "rollen" 87 85
"451" "franzwein" 4 3
"452" "semester" 1 1
"453" "dumm" 152 135
"454" "streiches" 2 2
"455" "nebel" 89 68
"456" "name" 596 473
"457" "schwarz" 536 394
"458" "brett" 77 57
"459" "rufen" 2488 1432
"460" "vorerst" 21 21
"461" "versuchen" 240 224
"462" "gläschen" 9 8
"463" "unger" 1 1
"464" "lüstern" 8 8
"465" "platz" 387 326
"466" "bedingung" 54 49
"467" "probire" 2 2
"468" "spüren" 46 45
"469" "bisherig" 34 33
"470" "vertauschen" 24 23
"471" "mäßig" 48 47
"472" "flurstübchen" 1 1
"473" "ehrenwerthen" 5 5
"474" "schenke" 47 40
"475" "thore" 82 68
"476" "abschiedsgelage" 1 1
"477" "mächtig" 217 208
"478" "humpen" 6 5
"479" "feurig" 89 86
