"Text" "Topic1" "Topic2" "Topic3" "Topic4" "Topic5" "Topic6" "Topic7" "Topic8" "Topic9" "Topic10" "Topic11" "Topic12" "Topic13" "Topic14" "Topic15" "Topic16" "Topic17" "Topic18" "Topic19" "Topic20" "Topic21" "Topic22" "Topic23" "Topic24" "Topic25" "Topic26" "Topic27" "Topic28" "Topic29" "Topic30" "Topic31" "Topic32" "Topic33" "Topic34" "Topic35" "Topic36" "Topic37" "Topic38" "Topic39" "Topic40" "Topic41" "Topic42" "Topic43" "Topic44" "Topic45" "Topic46" "Topic47" "Topic48" "Topic49" "Topic50" "Topic51" "Topic52" "Topic53" "Topic54" "Topic55" "Topic56" "Topic57" "Topic58" "Topic59" "Topic60" "Topic61" "Topic62" "Topic63" "Topic64" "Topic65" "Topic66" "Topic67" "Topic68" "Topic69" "Topic70" "Topic71" "Topic72" "Topic73" "Topic74" "Topic75" "Topic76" "Topic77" "Topic78" "Topic79" "Topic80" "Topic81" "Topic82" "Topic83" "Topic84" "Topic85" "Topic86" "Topic87" "Topic88" "Topic89" "Topic90" "Topic91" "Topic92" "Topic93" "Topic94" "Topic95" "Topic96" "Topic97" "Topic98" "Topic99" "Topic100"
"DNSAlexis" 0.00125313424391255 5.99928534763122e-05 9.2362444134827e-05 0.0132200232953649 0.000102789037795485 6.07737462647411e-05 0.000312070676520144 0.0329230050708558 0.00288307662207729 0.000827490654007814 1.35284323597082e-05 0.000327344056082756 0.000855281553347062 0.00229620972568314 0.00844239935322797 0.0119239345057198 5.43306098979721e-05 0.00029302304501341 0.138768946058255 6.63257719543841e-05 0.00830013910383517 0.0476950281982159 0.00122319537640291 4.22413608085292e-05 0.000151888168017248 8.11791019142911e-06 8.07002770966836e-05 0.000218200059677251 0.00112200418836535 0.000106560786644029 0.102259031614973 8.71937059625131e-05 5.04063581196826e-05 0.000483782444273119 0.000318763330547901 5.81356837541804e-05 7.79609271574448e-05 8.74821563944247e-05 4.69218545833187e-05 0.000841519030117005 4.1345086652164e-05 0.00140914069465229 0.00709243051146435 0.000986642374346228 5.99773630681336e-05 0.00603704528817471 6.64850169352058e-05 0.000371975041691959 0.000115405324232215 8.83975234116047e-05 0.000114333463018196 0.01453921537961 7.88041168470011e-05 0.014505613311677 7.18674541998754e-05 9.52955705580787e-05 0.0356712047231971 0.0015033745584871 0.000744482198181884 0.0311678929462113 7.8683911776459e-05 0.0133648815013422 0.00137736088756971 0.193416569864261 0.00165315478405636 0.00122705861376947 0.000295246569002451 0.0102196697220026 7.37576767983096e-05 6.77337419600413e-05 3.28072867600107e-05 0.0150375531084729 6.69677628293359e-05 5.82067780379141e-05 0.00108398642988054 0.000879077566477602 0.000954958131867542 0.0739042709363869 0.00562658517804589 0.000132475980082715 4.37478737199702e-05 0.00121507812490076 0.000500401451400858 5.78213624734549e-05 0.000248449273283602 9.69475835974738e-05 0.00118354845885993 0.000411055136768403 0.000689439953226164 0.0787034199215749 0.000460744385200736 0.0294182637461577 6.99777690731524e-05 0.000319033189467585 0.00748823567869944 0.0638156358784366 0.000689215830062477 6.07791320292238e-05 0.00034255225664263 0.00183840432534067
"DNSAndolt" 0.000724863599417451 5.74929497391737e-05 0.000466029705023625 0.013158235658864 9.85058159643505e-05 0.000439499517040382 0.00122994330117307 0.00526065193856073 0.00191911362751 0.000658832336976254 1.29647022376361e-05 5.19366044370372e-05 5.4795986220665e-05 6.38977979125048e-05 0.0109810944548191 0.00937124845630381 5.20666519954099e-05 0.000627446198540091 0.169782036364295 6.35619753424622e-05 0.00296013002351986 0.0299858580717521 0.00157326842710648 4.0481162224397e-05 0.000710644605717184 7.77963666634464e-06 0.194234557411479 0.00367132236783587 0.000591229999966247 0.00010212039594201 0.0699906936794402 0.00164942163880217 4.83059238889839e-05 3.75574087806712e-05 5.2589933017368e-05 0.000345833851659422 0.000325160504153072 8.38367727023537e-05 4.49666197040073e-05 9.42484951694587e-05 3.96222358350267e-05 0.000406251291953736 8.46077571512757e-05 0.00109920944558801 5.74781048166997e-05 0.00254264102890765 6.37145845808644e-05 0.000105109943293383 0.00142694172919081 0.00100658026553094 0.000109569184693078 0.0286947669302086 7.55203472845898e-05 0.0299537855191526 6.88727355471973e-05 9.13246016981803e-05 0.0180283367065213 0.000166911800122715 0.000496700069925945 0.0190573699330201 7.54051511624084e-05 0.0185926428151072 0.00347160716110084 0.000903879885506059 0.00164552882282263 0.000422511714484203 6.45211152236013e-05 0.0131198882144386 7.06841925216608e-05 6.49112752020109e-05 3.14402062825151e-05 0.0460667069178917 6.41772144412523e-05 5.57813001099268e-05 9.59277715840919e-05 0.000627980827585117 0.000661810285587325 0.0795726150994457 0.000212065377731524 0.000126955702607988 4.19248987043278e-05 0.000208317568469032 0.000255248064086693 5.54119448218858e-05 6.35850414079411e-05 9.29077753120159e-05 0.00010758087967897 0.000357522432842789 6.44325787123474e-05 0.0947688859257002 8.18571652393793e-05 0.0172205858005958 0.00673651123820535 0.000480314593365729 0.0047586994670327 0.0829281027660311 0.000353740758648091 5.82464640446966e-05 0.000101535218324353 0.000118009581018055
"DNSArnim" 8.74218909496033e-05 6.28890198762093e-05 9.68212586738167e-05 0.0339669971696675 0.000852858374819601 0.158608542000114 7.77547498992751e-05 0.0280705075104641 0.000860609642876266 0.000270130845279275 1.41815200022045e-05 5.68111770845208e-05 5.99389295940031e-05 6.98950027994036e-05 0.00486367224056843 0.0174016564792006 5.69534304133281e-05 8.23861151416504e-05 0.153708469065396 6.95276611970315e-05 0.00196112562136423 0.0664234844903876 9.80866110199461e-05 4.42805705271984e-05 0.00121400704699776 8.50980384828079e-06 8.45960983061563e-05 0.000228733709015039 0.000104111865391213 0.000111705028865261 0.0849337195443275 9.14029986842011e-05 5.28397346348544e-05 4.10824046778243e-05 5.75258246067043e-05 6.0942194932889e-05 8.17245057281385e-05 9.17053741155174e-05 4.91870160282352e-05 0.00261474452320626 4.33410285656472e-05 0.000534709898064773 9.25487202397372e-05 0.000748305633489496 6.28727816656328e-05 0.00820510601129559 6.9694593759558e-05 0.000114975163788835 0.000120976538185933 9.26649306493667e-05 0.0038903394815391 0.0383494161673373 8.26084005601598e-05 0.00469590974228642 7.53368692058145e-05 9.98959823324295e-05 0.00382165185825005 0.0134020761550704 0.000259667170267086 0.021760556737248 8.24823925669989e-05 0.0138825754958354 0.0119153071434549 8.75892364755428e-05 0.000272981162285883 0.00678019167297599 7.05768223084837e-05 0.00862545869143886 7.73183426593205e-05 7.10036012222187e-05 3.4391064761563e-05 0.0119122935872756 7.02006443034465e-05 6.10167213066775e-05 0.000104931188279628 8.62047318433602e-05 0.000112493594911867 0.0496978857590657 0.00357259833460566 0.00013887128319095 4.58598106356688e-05 0.000931060430973055 0.0204304994805613 6.06126997326172e-05 6.95528921559047e-05 0.000101627746615175 0.00011767801288896 9.70182325000917e-05 7.04799760961868e-05 0.0808912577893885 8.95399682066035e-05 0.054171949111506 7.33559591705687e-05 0.000838292964616019 0.000321206953133004 0.0793999427345846 0.000115637154542538 6.37132561756515e-05 0.000111064928696547 0.000129085512569741
"DNSAuerbach" 0.000187298722096024 6.58947159986161e-05 0.000429634444553744 0.0322707405470789 0.000964217054262469 0.000521618293764667 0.00076379156509861 0.0160734412524146 0.000111602946808948 0.00160244173537079 1.48593066772769e-05 0.000138926308308604 0.00105600476777369 0.000325740972012036 0.00486830422203227 0.0113770112184052 5.96754430204267e-05 0.000322073315929914 0.133595120564574 7.28506422527275e-05 0.0167491053200515 0.057643934351462 0.000237916097804602 4.63969008404001e-05 0.000411252493072886 8.91651847795014e-06 0.000707664218677613 0.00023966572900205 0.000256298526801042 0.000166114078758447 0.102654234996045 9.5771482073865e-05 0.000196283360396578 4.30458829556278e-05 6.02751940244337e-05 0.000150891050175295 0.000777630178189772 0.000238748831325532 5.15378433052358e-05 0.000347268103444613 4.54124547344333e-05 0.000794509344355456 0.000184008166849993 0.000121784913039174 6.58777017046047e-05 0.00252692177857043 0.000508219645853285 0.000199870164529807 0.00069516949040624 0.00026711873596878 0.000271858792548007 0.0217804485703829 0.000698629780253319 0.00140394347601825 0.000308201240220631 0.000522324271097089 0.0124881871005775 0.000681074277854506 0.00131261285125859 0.0151695564574642 8.64245275850588e-05 0.00936927518284297 0.00252432376831181 9.17754462297627e-05 0.000324343657642652 0.000225526910901936 0.00180273638803317 0.0103447617134879 0.000221931890569074 0.000215315344557996 0.000182312389606741 0.00250737917171162 0.000676583609064866 6.39329334371013e-05 0.00220128803383778 9.03247710607742e-05 0.000347133821657872 0.0345925202097154 0.000756463979982558 0.000863618035444837 4.80516186058561e-05 0.0009068772316142 0.00428316195946242 0.00015054580719508 0.000871413668790657 0.000231386324052539 0.00049830603266876 0.000199173521877215 0.000211406719766932 0.0979154704651962 9.38194105602731e-05 0.0265078699052709 7.68619085790412e-05 0.000172221687005064 0.0260672890199889 0.0563903691641106 0.271169445137688 6.67583455634338e-05 0.000215781928174441 0.00048588994914278
"DNSBerthold" 9.21814449596088e-05 0.000430476545622751 0.000102092547191705 0.0392708116164083 0.00268278009982797 0.000515736978500431 0.000323299130011169 0.0235552855938436 0.00011231123766276 0.000284837714850609 1.49536116335028e-05 5.99041765926376e-05 6.32022149062487e-05 7.37003316162445e-05 0.00661067497447318 0.0184483603843451 0.000285075283770814 0.0852336883426938 0.137854153909702 7.33129906501247e-05 0.0124252511823602 0.0969340498909679 0.00193536367200385 4.66913599156315e-05 0.00256707066399778 8.97310738233262e-06 8.92018062650014e-05 0.000241186773460803 0.000109780080080113 0.000117786641974956 0.129673554687952 9.63792981463656e-05 5.57165149027844e-05 0.000168505993991328 6.06577320295665e-05 6.42601015249413e-05 0.000312468007126369 9.66981359554801e-05 5.18649294985849e-05 0.000108707116289555 4.57006659981789e-05 0.000441691909246663 9.75873967972124e-05 0.000122557823992731 6.62957961628755e-05 0.00364230655374472 7.3489011606173e-05 0.000121234814500093 0.000127562924744093 9.77099341086641e-05 0.00089678872732 0.0298238770221796 8.71058912901751e-05 0.000934013113072 0.000372462878956304 0.000105334669578029 0.0154421164907804 0.000563435025315339 0.0301499797493545 0.0518313081129877 8.69730229804204e-05 0.0159437486193936 0.00639524830530964 9.23579013622451e-05 0.000419629289544217 0.000609657343207686 7.44192717680297e-05 0.0180535537454775 8.15278241044576e-05 7.48692860209708e-05 3.62634348100285e-05 0.00438505416019452 7.40226133145269e-05 6.43386853756085e-05 0.000217162345790064 9.0898019447526e-05 0.000246200811837936 0.0204182065749052 0.00456561421054746 0.00118027646412539 4.83565793881877e-05 0.000473567776562358 0.000396570902925769 6.39126674516401e-05 7.3339595270791e-05 0.000107160717175248 0.000124084816174169 0.00247251469998173 7.43171529086522e-05 0.147349063288921 9.44148377627789e-05 0.0318039049610946 0.000302370823656878 0.000112062176749938 0.000580005724079497 0.0455899095636106 0.000121932846349592 6.71820290496693e-05 0.000117111692510583 0.00062462988203537
"DNSBrentano" 0.000855774757355658 6.84347342379566e-05 0.000105359204499761 0.0570309308916087 0.000117252973921081 6.93255101778869e-05 8.46113622945591e-05 0.016821174968737 0.000115904862617566 0.00218589626789357 1.54320826489501e-05 6.18209317489369e-05 6.52244974615184e-05 7.60585226253129e-05 0.00566240101106605 0.00363748463041151 0.00640067390290293 8.96511331503419e-05 0.0929843089528499 7.56587879024254e-05 0.0108779730277405 0.0762190009555135 0.00502157982972247 4.81853443080973e-05 0.000924382592777659 9.2602200816703e-06 9.20559982735544e-05 0.00100002554722323 0.000113292715534289 0.000121555463552856 0.168612853794674 0.0019861949097844 5.74992773628574e-05 4.47051560275096e-05 6.25985987145011e-05 6.63162332998564e-05 8.89311813293063e-05 9.97921881775413e-05 5.35244527021762e-05 0.00011218542009951 4.71629511372269e-05 0.155443475592472 0.000100709902716505 0.000126479309178653 6.84170641005067e-05 0.000222534448594786 7.5840441004583e-05 0.000125113967324382 0.000131644558240512 0.000100836360856803 0.000130421870319018 0.0317312642387487 8.98930202646681e-05 0.00401956027334309 8.19802667074158e-05 0.000108705065141993 0.020154905930444 0.00832137770125489 0.00391809925209906 0.0165514504022314 8.9755900564905e-05 0.00590035826426934 0.0036155104350322 9.53130790097886e-05 0.00498564195134039 0.000182931280322509 0.000531963752245401 0.00323396169816785 8.41364715498059e-05 7.72648800878923e-05 3.74237566708884e-05 0.002035447037308 7.63911163776474e-05 6.6397331599591e-05 0.00011418428840717 9.38064852237646e-05 0.00012241356736708 0.0241366346460623 0.00327595524387518 0.00516572512124049 4.99038458419711e-05 0.0012070286345677 0.00659491250830201 6.59576823714484e-05 0.00157792927512893 0.000110589540821305 0.00419689365804177 0.000105573547981016 0.0054351672841255 0.0858524733918597 9.74358312461483e-05 0.0649451050539731 0.0089531120800856 0.0008225235513862 0.0153267388454377 0.0555875529450417 0.000660018442663974 0.000543374544802713 0.000120858917716749 0.000140468602692002
"DNSChamisso" 0.00199276183162153 0.00361484456186035 0.000393143821550682 0.015022184087872 0.000105254332403497 0.000301017843970599 0.00135260614010823 0.0144766568505565 0.000921409892099036 0.00151848023482726 1.38528985874941e-05 0.00194816092756518 5.85499941458744e-05 6.82753601449098e-05 0.00638888715470288 0.00265391480981917 0.000471971729715327 0.000506028076371618 0.167487899975157 6.79165307695088e-05 0.0543066507661626 0.0447496973840118 0.0028775427203568 4.325447856184e-05 0.000155531057275329 8.31261033312196e-06 8.26357943683536e-05 0.00220429012091029 0.000101699332144588 0.000109116542961757 0.0913753445312536 8.928496177901e-05 5.1615305353231e-05 4.01304222427375e-05 5.61928068581344e-05 5.95300113086168e-05 7.98307437981963e-05 8.95803304126067e-05 4.80472294052167e-05 0.00273592581307234 4.2336708145831e-05 0.000477394139156484 0.0270432177619773 0.00250789130023507 6.14158615009025e-05 0.00075297826190561 6.80795950855533e-05 0.000112310900650965 0.000958790403949269 9.05176516130362e-05 0.00536016752962356 0.0224679640363385 8.06941565683435e-05 0.00252186988837203 7.35911248473524e-05 0.00453590849880293 0.0164164481793991 0.000872243484679431 0.0120847194605513 0.0706860303233357 8.05710684966699e-05 0.00982583406437805 0.00214106171266733 0.000563132571614411 0.00735362467602277 0.00536122467482705 6.89413801845667e-05 0.0165187654537015 7.55266825873523e-05 6.9358269559636e-05 3.3594137467903e-05 0.0274393038221508 0.000198889441736451 5.960281071926e-05 0.00010249966926514 8.42071518287573e-05 0.000878682003244293 0.0590792547109672 0.00127259786073596 0.000297160265396184 4.47971237130327e-05 0.000932338985649293 0.000723206702862971 5.92081513391831e-05 0.000338186507270081 9.92727766358418e-05 0.000638875954240717 9.47700765328946e-05 6.8846778142097e-05 0.124544463343722 8.74651023938695e-05 0.0358036642366555 7.16561174697973e-05 0.00365981241094956 0.00427535952168024 0.110107967780356 0.000112957551417278 6.22368601068949e-05 0.000108491275520633 0.000819991032633623
"DNSDincklage" 0.00308960827727337 0.00168815726861745 9.2748942021167e-05 0.0565105685493761 0.00070993861325005 6.10280587690961e-05 7.44843734636188e-05 0.00773743037338142 0.000916226578295845 0.000258769101436106 1.35850431452012e-05 5.4421690460748e-05 5.74178892308533e-05 6.6955208504889e-05 0.00237173317370548 0.00972538760726173 5.4557960593223e-05 0.00281701081429861 0.0955669126463726 6.66033173453746e-05 0.00581043440098651 0.0878752304273595 9.39610734579507e-05 4.24181230934769e-05 0.000152523755960471 8.15188022286207e-06 8.10379737310363e-05 0.00325271036827765 9.97329047272191e-05 0.000107006698607386 0.110254942160764 8.75585748588739e-05 0.21680536996494 3.93544725791101e-05 5.51062798010278e-05 5.83789570792032e-05 7.82871607672816e-05 8.7848232334225e-05 4.71182027612982e-05 9.87581395838397e-05 0.00267187141495423 0.000155335991024393 8.86561071940485e-05 0.000111341217595419 6.02283430445864e-05 0.000195899682124849 6.67632286992992e-05 0.00214562471588964 0.000115888246856296 8.87674297764298e-05 0.00011481190035502 0.0263879732547699 7.91338788501785e-05 0.00262476040273959 0.00902830405797897 9.5694342341819e-05 0.00750406385902803 0.00159869213269702 0.000248745530163361 0.0204009008198547 7.90131707720976e-05 0.0143011162616772 0.0073354046977878 0.000903101777910324 0.00102444582380943 0.00115724547327062 6.76083505832172e-05 0.0354170665098326 7.40663215775912e-05 6.80171791118694e-05 3.29445714227118e-05 0.00261992420581967 0.00240733474482547 5.84503488625393e-05 0.000100517766772136 8.25789479005425e-05 0.000107762097447871 0.0649796039190281 0.000222212377367445 0.000133030336204106 4.39309401262679e-05 0.00245337756534109 0.00495888310483846 5.80633204964439e-05 6.66274870863357e-05 0.001310792161699 0.00144100702353886 9.29376310987839e-05 6.75155777371261e-05 0.0781711987484121 8.57739037224193e-05 0.0146302523590056 7.02705965323097e-05 0.000101806141780643 0.0009652852696742 0.0685924040442728 0.000110773438489279 0.0145246743318212 0.000106393521147715 0.000123656156562043
"DNSDroste" 0.00540998035803421 6.00437312213379e-05 9.2440773345897e-05 0.0345259746428001 0.000102876209419326 6.08252862563825e-05 0.00133680023466769 0.0177096947845087 0.000101693394381523 0.00406044966827464 1.35399053284422e-05 5.42408683414897e-05 0.000397342619533936 6.6732742377969e-05 0.00198373759258299 0.00701203150929186 5.43766857012937e-05 0.00202153423070349 0.132899552285461 6.63820204159689e-05 0.0119214862293513 0.0841653584250027 0.000423010373530156 4.22771841618159e-05 0.000152016978817818 8.12479469418116e-06 0.00058274691020983 0.000218385107168036 9.9401531059112e-05 0.00554482471047899 0.109913982845653 8.72676517557659e-05 5.04491059085854e-05 3.92237129670179e-05 5.49231830575473e-05 5.81849865014835e-05 7.80270429686463e-05 8.75563468119399e-05 4.69616472922047e-05 9.84300046813335e-05 4.13801499081163e-05 0.000785467698187822 8.83615374176909e-05 0.001009162796507 6.00282276763106e-05 0.00686709959923526 0.000992406421938269 0.000109773341121471 0.000494840306917429 8.84724901184111e-05 0.000447300225087945 0.0469791884668523 7.8870947736542e-05 0.00199868578384311 0.0756906457801176 9.53763872464005e-05 0.00465442765846196 0.00422160740105947 0.00173640211518716 0.0488800381529769 7.87506407244755e-05 0.00946240427173702 0.00524915184049581 8.36264356348989e-05 0.000260630672397911 0.0018895796607955 6.73837143191005e-05 0.0169098187487427 7.38202279865993e-05 0.00998847637773876 3.28351094201117e-05 0.0127010440191973 6.70245557399035e-05 5.82561410776793e-05 0.00781786771643971 8.23045701618306e-05 0.000567501678566839 0.0467583545539288 0.0397828787881272 0.00544101286497718 4.37849746917621e-05 0.00101088348918582 0.00168895788572466 5.7870398656375e-05 6.64061098502775e-05 9.70298012976383e-05 0.00201403517913934 0.000438389067110504 0.000252464254019435 0.130364391983396 8.54889103876507e-05 0.0195225737238716 7.00371146599359e-05 0.00232354393113177 0.0263342529319152 0.0395871830082079 0.000110405381419835 6.08306765883351e-05 0.000106040016840766 0.00137028477137886
"DNSEichendorff" 7.90676724046384e-05 5.68792137462164e-05 0.000806854605726778 0.0105663194478291 9.74542685129287e-05 0.000562834072305145 0.000743943669209639 0.0474613944040641 0.00103362304548316 0.00438226600121931 1.28263043221123e-05 5.13821823098093e-05 5.42110402548417e-05 0.20339334254278 0.00482543902181097 0.00960465419336079 5.15108416133137e-05 7.45131258538671e-05 0.0695824913557669 6.28834526326672e-05 0.000437749406639433 0.115351493445936 0.00165800481751252 4.00490266946222e-05 0.00014400514517259 7.6965892134669e-06 0.000383351122651874 0.000206875437900615 0.00176165600781856 0.000101030262927631 0.0637099332843113 0.00025442849649994 4.77902591979527e-05 3.71564842555689e-05 5.20285366216986e-05 5.51184314618757e-05 0.000410724404047938 0.000431673276518564 4.4486602012809e-05 0.000770025532343072 3.91992693258509e-05 0.000146660313976225 0.000418877337324203 0.00160660103410342 5.68645272929682e-05 0.000184958480638022 0.00178368160635097 0.000103987896925793 0.00102623347927147 8.38096762766935e-05 0.000820243212319978 0.0603070114411848 0.000592574130789246 0.00189099244203168 6.81375205872673e-05 0.000940679449506034 0.028673998821701 0.00168328506690265 0.00870723074452917 0.111002006113688 7.4600202807302e-05 0.00957696011758765 0.00131466377129966 0.00072270974301062 0.00821066331067583 0.00204918981763895 6.38323537163536e-05 0.0332824749797151 0.000916080647073372 0.00111041272739123 3.11045827615595e-05 0.00760427652895171 0.00107964811559249 5.51858359396811e-05 9.49037447005794e-05 7.79668275655324e-05 0.000788947714317872 0.0139166385226531 0.0109092831353894 0.000125600453232974 4.14773513189063e-05 0.00785617919589339 0.000252523296532178 5.48204235113383e-05 6.29062724683968e-05 9.19159868232836e-05 0.000106432456118993 8.77469675074456e-05 0.00199774066759423 0.100251764399008 8.09833417737756e-05 0.0153344147926508 6.63459104535976e-05 9.61201626216338e-05 0.000634032064277998 0.02010807669499 0.000104586626460011 5.76246843028517e-05 0.000100451332068366 0.00106251464593464
