"word" "word.freq" "doc.freq"
"225" "burschen" 336 253
"226" "glüht" 11 11
"227" "feuer" 496 415
"228" "ehrgeizes" 6 6
"229" "stark" 258 244
"230" "schwach" 131 123
"231" "sinn" 386 359
"232" "stirn" 526 468
"233" "niedrige" 38 38
"234" "decke" 125 117
"235" "fährt" 85 79
"236" "verlaßt" 10 10
"237" "vergißt" 40 40
"238" "nabob" 2 2
"239" "gewiß" 860 727
"240" "heiße" 134 124
"241" "lachte" 791 679
"242" "gewohnheit" 148 140
"243" "schöne" 744 651
"244" "frau" 4423 1960
"245" "muhmen" 3 3
"246" "wißt" 191 160
"247" "gevatter" 49 40
"248" "hält" 227 211
"249" "bursch" 182 144
"250" "groschen" 46 36
"251" "miethe" 12 11
"252" "erkerkammer" 1 1
"253" "gezahlt" 9 9
"254" "hofft" 15 13
"255" "unsern" 274 246
"256" "lieben" 493 429
"257" "mahnte" 44 44
"258" "thüre" 724 550
"259" "warf" 1004 889
"260" "glaube" 456 419
"261" "treppe" 435 357
"262" "angedenken" 14 14
"263" "unvergeßlich" 5 5
"264" "commers" 2 2
"265" "laterne" 76 56
"266" "hausthür" 121 108
"267" "öffnete" 439 404
"268" "hals" 372 343
"269" "rausch" 47 46
"270" "vetter" 493 235
"271" "hübsche" 122 119
"272" "magd" 262 178
"273" "meint" 227 207
"274" "liebe" 1912 1281
"275" "frauen" 463 387
"276" "schönen" 818 725
"277" "bewundert" 35 35
"278" "pferd" 337 234
"279" "fenster" 1095 783
"280" "tummeln" 6 6
"281" "gewonnen" 141 136
"282" "trotz" 600 554
"283" "lästerungen" 5 5
"284" "weiber" 242 204
"285" "versteht" 187 171
"286" "gefunden" 520 472
"287" "wohlgesprochen" 1 1
"288" "leiter" 66 44
"289" "galgen" 75 61
"290" "unrecht" 288 250
"291" "fuhr" 1787 1430
"292" "uebermüthig" 2 2
"293" "lieb" 529 420
"294" "flott" 11 11
"295" "lebt" 179 167
"296" "student" 43 30
"297" "schuldig" 177 156
"298" "wirthschaftet" 3 3
"299" "wenigen" 249 239
"300" "haus" 1766 1315
"301" "gott" 2046 1366
"302" "erhalte" 20 20
"303" "leute" 1213 977
"304" "eitel" 50 46
"305" "verliebt" 105 90
"306" "wort" 1663 1325
"307" "gebe" 200 194
"308" "grund" 430 399
"309" "aufgeräumte" 1 1
"310" "wirth" 309 209
"311" "vornehm" 67 65
"312" "geltend" 63 60
"313" "reich" 301 261
"314" "gelde" 54 52
"315" "anzufangen" 49 49
"316" "gelehrt" 51 50
"317" "klug" 169 157
"318" "duckmäuserig" 1 1
"319" "pfui" 33 33
"320" "mensch" 1029 862
"321" "cavalier" 41 36
"322" "schlüge" 11 11
"323" "scharfe" 52 52
"324" "klinge" 17 16
"325" "temperament" 17 17
"326" "vernarrt" 10 10
"327" "gehänselt" 4 4
"328" "verdient" 145 138
"329" "temperamente" 3 3
"330" "zuwider" 49 48
"331" "königsberger" 4 4
"332" "studenten" 49 39
"333" "schätze" 77 72
"334" "schönheit" 319 272
"335" "klugheit" 67 58
"336" "gelahrtheit" 1 1
"337" "vettern" 23 20
