"DNS_Alexis" "DNS_Andolt" "DNS_Arnim" "DNS_Auerbach" "DNS_Berthold" "DNS_Brentano" "DNS_Chamisso" "DNS_Dincklage" "DNS_Droste" "DNS_Eichendorff" "DNS_Ense" "DNS_Frey" "DNS_Gall" "DNS_Gerstaecker" "DNS_Gluemer" "DNS_Goethe" "DNS_Goldammer_Hochzeitsnacht" "DNS_Goldammer_Wiedersehen" "DNS_Gotthelf_Kurt" "DNS_Gotthelf_Notar" "DNS_Grillparzer" "DNS_Grimm" "DNS_Grosse" "DNS_Hacklaender" "DNS_Halm" "DNS_Hartmann" "DNS_Hauff" "DNS_Heyden" "DNS_Heyse" "DNS_Hoefer" "DNS_Hoffmann" "DNS_Holtei" "DNS_Horner" "DNS_Immermann" "DNS_Kaehler" "DNS_Keller" "DNS_Kinkel_Margret" "DNS_Kinkel_Orthodoxie" "DNS_Kleist" "DNS_Kompert" "DNS_Kopisch_Karnevalsfest" "DNS_Kopisch_Traeumer" "DNS_Kruse" "DNS_Kuernberger" "DNS_Kugler" "DNS_Kurz" "DNS_Lewald" "DNS_Lohmann" "DNS_Lorm" "DNS_Ludwig" "DNS_Meissner" "DNS_Meyr" "DNS_Moerike" "DNS_Muegge" "DNS_Mueller" "DNS_Pichler" "DNS_Raabe" "DNS_Reich" "DNS_Riehl" "DNS_Roquette" "DNS_Rumohr" "DNS_Sacher-Masoch" "DNS_Schefer" "DNS_Scheffel" "DNS_Schmid" "DNS_Schreyvogel" "DNS_Schuecking" "DNS_Spindler" "DNS_Sternberg" "DNS_Stifter" "DNS_Storm" "DNS_Tesche" "DNS_Tieck_Gemaelde" "DNS_Tieck_Lebens" "DNS_Traun" "DNS_v.W." "DNS_Waldmueller" "DNS_Wallner" "DNS_Wichert" "DNS_Widmann" "DNS_Wilbrandt" "DNS_Wild" "DNS_Wildermuth" "DNS_Wolf" "DNS_Ziegler" "DNS_Zschokke"
"DNS_Alexis" 0 0.826443801645219 0.969167427675775 0.786718764227758 0.847964238733259 0.97329651416867 0.874126506627049 0.919764028211116 0.918260786398611 1.02655932736537 0.932065156352907 0.842997812309223 0.902968777519688 1.09206259194967 0.906823796876236 1.05285081294045 1.23863249541806 1.06354147488103 0.802560842660952 0.995776201266639 0.946384877932996 0.92460025568655 0.859048331988348 0.921085986050844 0.903052343112258 1.01972835792368 0.884235878124482 0.891475168363508 0.780341683790147 0.899133064760885 0.880497640481554 0.950443383717892 0.818066512914893 0.773295268005394 0.908113544422172 0.842238290965355 0.953320157764917 0.859728172879224 1.03419253609247 0.847397817345149 0.973999933757654 0.946888588914026 0.842805859351809 0.819848886034444 0.913137172680574 0.808183683551881 0.85348153026624 0.889371581618842 0.939952427950037 1.00315611646043 0.778018536730061 0.831778347412137 0.793859666603914 0.767346979289177 0.819955073451844 0.855574252445986 0.93482570700195 1.01278284982129 1.17046335175659 0.819201399532127 0.869610329042832 1.00005178845421 0.808803123552842 1.2211826912106 0.816977833979917 0.899543136052746 0.804126340029537 0.88703648544403 0.845898037743595 0.948741130289286 1.00476413053984 0.805173040964551 0.79109303920898 0.863125320602043 1.04114396727755 0.968797850531733 0.767595339313839 1.21424311412688 0.866732123860956 0.933541008010359 0.962544646247051 0.843346193441787 1.01005064376894 1.33890615386868 0.854106311628234 0.783065785435192
"DNS_Andolt" 0.826443801645219 0 1.02081264432333 0.917871545217878 0.958621502853258 1.07151186248697 0.903406215240907 1.00899426366226 1.00814034396166 1.09401355793507 0.900483673847247 0.925521385758472 0.958768311435559 1.19406010862076 1.05222124264784 1.02288115888022 1.32572869898837 1.1241349277632 0.940134674286868 1.10814505291494 0.971595873334406 0.979293815583594 0.873418138441287 0.974923346766565 0.912498417649625 0.986298907256586 1.01080795701326 0.930496924694288 0.907122419799089 1.00194827987893 0.929405721671962 1.02183865580557 0.92452052575675 0.745590892812995 0.907120477378578 0.923265257883014 1.00789124505175 0.898944908442077 1.0326422460037 1.02519918662459 1.03750059443795 1.042237724983 0.888278361416707 0.910410459458356 0.905501079715106 0.829095940796353 0.884222588351203 0.89938107074511 0.94085714903685 1.10895318403231 0.875862704247864 0.914606208771057 0.821212968444469 0.901982615397991 0.789530540840834 0.937156089460709 0.971445471847851 1.1085875465718 1.20246396619997 0.824364031234466 0.905011375703353 1.10265111608507 0.956117082079315 1.33206219113133 0.933608966366035 0.851466956149922 0.808519175603288 0.969490276328767 0.886975811962311 0.949650460141053 0.966371748135058 0.877045392613911 0.840781464527852 0.900799368684818 1.08163634200818 0.928985112875508 0.858639790805603 1.20254081641765 1.01097773328102 1.11801111786708 1.03723931729626 0.865868696178083 1.10841785714871 1.35492581871024 0.981365941598901 0.894941441625229
"DNS_Arnim" 0.969167427675775 1.02081264432333 0 0.921082532612007 1.00474254562705 1.01443262838454 1.02564661914164 1.08618795805742 1.07679073744311 1.10495368319834 1.05223073606028 1.04243863351017 0.994635872422468 1.26368108493009 1.0544707592614 1.11739870677511 1.31575323876184 1.16622449078102 0.966246763796808 1.14112376892673 1.0409210317302 1.09267578615082 1.05926290432663 1.07844923764362 0.961498824433968 1.12268935342732 1.05664436565021 1.05661874802148 0.968304172341573 1.07710507701675 1.03694167942397 1.05073389436972 1.02139239775558 0.923200213963141 1.0423584509456 1.0358387036146 1.01365208066953 1.00424140415132 1.07040237900659 1.05238721111149 1.08694716339653 1.07556824269808 1.02984473532711 1.00937274273369 1.04285623923014 0.975004619457179 0.985839813642425 1.03013893294692 1.09262620262977 1.14876808326954 0.933114745360248 1.03262567105166 1.00807314727775 1.01994577070363 0.945453943124059 1.02481411426989 1.07160663808713 1.10606807310935 1.17141303220268 0.987597317241016 1.04469586777237 1.15999859461935 0.961477560308923 1.30997404570611 0.999364233751863 1.04929505533893 0.947583995313875 1.04042462135618 1.04699700240475 1.05093808708598 1.13687441792739 0.988418734391556 0.997861461938459 1.03395126010294 1.18743845764492 1.21259551154689 0.951438290107562 1.2718116971849 1.00264979863921 1.12254398886918 1.09538643165877 0.99699366006288 1.13474867198506 1.42941616313741 0.975186300232085 0.969120459060705
"DNS_Auerbach" 0.786718764227758 0.917871545217878 0.921082532612007 0 0.791029734636323 0.942112565177078 0.867248943296245 0.954803138017743 0.852878330118633 0.974170726000858 0.978696355966822 0.842773072289312 0.877157822772141 1.0675082604176 0.853374984909422 1.07175876016886 1.21348681624118 1.07681656364832 0.792003742497779 0.984617241373765 0.899134007320264 0.864595483865122 0.844970394906573 0.961433286957586 0.905119786691834 1.01429986391129 0.925578394367457 0.976577066209862 0.698094056197386 0.846357790901982 0.859232630943731 0.977658172986071 0.825471637244301 0.795671251878489 1.00352536252687 0.803278346584798 0.880992221467947 0.905661405930878 1.08338075047225 0.797522519270935 0.963580749977473 0.905654971854522 0.89222045888023 0.824736834650462 0.950093670552067 0.83323016769726 0.81434003043309 0.905062293223654 0.972483648790181 0.99325302461873 0.78100797484999 0.746832272537114 0.826511649003758 0.821143597715153 0.875350640811859 0.821496089651537 0.950916986851281 0.906238671557763 1.12800638738457 0.782856943621162 0.944563570298041 1.04109015667041 0.788240749167571 1.27205684914679 0.781349148816279 0.949400103271838 0.830653190314428 0.848176342340381 0.932488262726498 0.91253313305217 0.979172021017292 0.837936508260547 0.870347093631334 0.907056464323575 1.0464347630942 1.02596173800312 0.7886707327593 1.26560068289155 0.755308012429933 0.89865903365967 0.913666571546651 0.774763049177538 0.922220535780386 1.32070072351812 0.867412628538781 0.797764118857446
"DNS_Berthold" 0.847964238733259 0.958621502853258 1.00474254562705 0.791029734636323 0 0.919787129459035 0.864566950811505 0.979459437128373 0.83777973938064 0.932907162590943 1.08849267742492 0.935813947765805 0.919466213622923 1.04103732936043 0.920028017819318 1.08070224402788 1.21585280170537 1.08578038338056 0.906165071366604 1.0031969886988 0.92630563041887 0.807763462569588 0.912404943416751 0.926846450066832 0.952837778615466 1.05844707669632 0.903830737842317 1.06091768389786 0.753186548621492 0.89268793920041 0.946450880686405 1.04951721861334 0.840710829057556 0.827836716230466 1.01638231937399 0.814267931105952 0.946213277644661 0.961800269642677 1.08694621669126 0.905162022566198 0.97543011937367 0.895713833696393 0.985807242625155 0.85598872871034 0.998882743386418 0.967974332654983 0.940199497071365 0.931368906750225 1.08831789276807 0.996955119943331 0.806185923135879 0.843984144635338 0.857565318380801 0.842100940649026 0.948039074528182 0.852534560984459 0.995955986925007 0.90248385808907 1.22573254701917 0.802269267141459 0.996939353674413 1.05059545557987 0.861660800525589 1.3211703881337 0.866613295827575 0.870760752005071 0.86888997281301 0.932913251354966 0.960681128998292 0.989452002518818 0.991824510702657 0.91987110873228 0.975456075393803 0.971043410797976 1.0175604106009 1.13185246522113 0.915229004512158 1.35020486130245 0.812545887529954 0.91051415006714 0.831977876906792 0.837159759693335 0.970335119722838 1.32451510947657 0.914596649236492 0.865741773950875
"DNS_Brentano" 0.97329651416867 1.07151186248697 1.01443262838454 0.942112565177078 0.919787129459035 0 1.037069741391 1.05260186166303 1.0693444729868 1.14158730784419 1.15670245422816 1.09241820611782 1.02266507551361 1.21369662646347 1.01273664133617 1.18482565410857 1.34304115718563 1.21463420103547 1.03826855275811 1.10067148031108 1.02416064886044 1.08344895684313 1.04542106692813 1.08910645917672 1.07828624243114 1.17200276247668 0.980098954712284 1.13303005099054 0.944654984745044 1.00347699043989 1.00527489066257 1.09855947307417 0.982279694527126 0.92475790754472 1.06392032668788 1.04405327059339 1.07719690180971 1.11032359170784 1.12209265796141 0.980746132498488 1.11735894746631 1.00028833268241 1.10218630257032 0.979428783302922 1.14667423138143 1.06888688966876 1.04117261548423 0.997941364031348 1.18573346351767 1.1781480882969 0.932884854997309 1.02156773314463 1.00627541586172 0.998066561576352 0.980408332484059 1.02402801864547 1.07729364671444 1.06851789240224 1.27644913943319 0.982191958587106 1.12432018083029 1.10061485691599 0.96918748476944 1.34678630008219 1.00798776564702 1.02592512873553 1.00560649497958 1.0114999562571 1.06716633340109 1.10017587470087 1.12416760771885 1.0019962002319 1.02000446554643 1.04824947392878 1.09073796997882 1.20531920078977 1.01886955573307 1.3013041554463 0.997278927629234 1.07659433090499 1.0797231980076 1.03987423901598 1.09250950368998 1.39655109695834 0.990840596559967 1.00708447486757
"DNS_Chamisso" 0.874126506627049 0.903406215240907 1.02564661914164 0.867248943296245 0.864566950811505 1.037069741391 0 1.05239122156885 0.959552969298706 1.07262052448452 0.946671810927571 0.952565121389356 0.975199579792436 1.15678766891102 1.01944950882551 1.035310070906 1.25044893474675 1.13621672527007 0.938663618585075 1.10444806995091 0.944170991881531 0.950819877873033 0.961211150272527 1.03129201108766 0.943816989985498 1.04913725375023 0.958210475522626 0.991116114049556 0.848853493955698 0.982603272961374 0.935579250754015 1.04010598966177 0.933553481363022 0.813934421897939 0.948734541836057 0.920409482828425 0.927925894725473 0.915909699356652 1.08902044639048 0.995737282405501 1.05360672727471 0.978549532090652 0.928212925473646 0.943064819995629 0.981209819360963 0.895225788713182 0.883302111561115 0.931282874646055 1.01180602794922 1.04195320343595 0.927216274241974 0.926911872407376 0.833323554233273 0.903800463037272 0.863615390617962 0.928023782415183 0.967156500811001 1.02709293759093 1.25560865768309 0.848369388762006 0.938374847975561 1.0985125837704 0.867402394283506 1.31269384723903 0.937080833790903 0.911298943338992 0.848553341756702 0.949994928162593 0.913725221762237 0.97486657463609 1.03033101336242 0.916897445907728 0.939070302056314 0.969117099484545 1.1078407269909 1.03665858238425 0.905847154756557 1.20964283116411 0.922629233254959 1.03179917063164 0.997269789052186 0.822187426904366 1.09594941550696 1.37398962069785 0.99322975803616 0.899016182481642
"DNS_Dincklage" 0.919764028211116 1.00899426366226 1.08618795805742 0.954803138017743 0.979459437128373 1.05260186166303 1.05239122156885 0 0.98664484450765 1.11929965752759 1.09746629378044 1.01060864457732 0.991427925514675 1.16672460654464 1.00026240602036 1.15960537278794 1.26339446354122 1.15425322527426 0.985792091903095 1.10987884586431 1.00537012124062 1.04586070911235 0.968120490536849 1.02172484752431 1.01869806960541 1.10366414414728 0.984191775387053 1.03559022845872 0.885380740158147 1.02844269438678 1.01706008767102 0.987397942830931 0.92658320970078 0.929968737015362 1.0570028970564 0.918587174642533 1.00507588427447 0.997761518135104 1.128438869581 0.948643952064792 1.06434780497625 1.03373115586692 1.03073686044768 0.93532783844209 1.10529990096518 1.01500401121409 0.989475808795307 0.970438739270916 1.07965158334868 1.1099051707337 0.948326289578395 0.953584270470746 0.940129861490516 0.900797793862171 0.981416138529371 0.965012618230496 0.979163508400481 1.05162462792632 1.21774265005508 0.929288091054538 1.02037566938271 1.06954604416906 0.941543712748073 1.27229557076602 0.949079103159382 1.0476712202135 0.930773207669071 0.944409236084204 0.949375602139201 1.02381609018098 1.08029199842225 0.912158999603996 0.997543394316408 1.02051742256328 1.09376431458574 1.11972669250372 0.963338524000705 1.23976241096753 0.99742662968372 1.01238299385218 1.0489379190721 0.970881393224873 1.06992150188273 1.31874681804221 0.959829980059784 0.955741094619601
"DNS_Droste" 0.918260786398611 1.00814034396166 1.07679073744311 0.852878330118633 0.83777973938064 1.0693444729868 0.959552969298706 0.98664484450765 0 1.01924912911091 1.06736494082925 0.953350868806377 0.977909002980433 1.10353133334244 0.977046918627121 1.12459991066054 1.27528460967146 1.1031585665597 0.939750471069071 1.10215798853514 0.937989340496533 0.938109575146706 0.995827830971952 0.942826459079972 0.976577219215963 1.0514743252533 0.969905243988821 1.03345518027244 0.807584405718455 0.923201445410505 0.974278723835777 1.02295971347493 0.965066103916024 0.900156520733667 1.08459512598456 0.858418251876266 0.922398187561681 0.985363940606781 1.10486372032096 0.930428414034303 1.01773129599709 0.977539374786522 0.959254470191438 0.931207580977047 1.00449058696027 0.93738464218281 0.99555523260988 1.01720267699896 1.08875170802499 1.01790566899714 0.853740715840589 0.931968831348003 0.867849872417469 0.884701937559298 0.964419037751337 0.868806407418733 0.972097642757607 0.969151620943712 1.21430844630295 0.877587525604343 0.997475801153045 1.08483604099972 0.956859617316124 1.30034364206853 0.930856348005179 0.959042029139068 0.888145944767119 0.964574039366965 0.984058341053333 0.975633489105044 1.01350752522243 0.972950662180453 1.00816383717351 1.04316908008739 1.07772338477729 1.11790852310097 0.896303330794522 1.28536126349039 0.918585481545233 0.967572561778386 0.976721892154535 0.902114793051355 1.02159671232026 1.31477542197909 0.956056639291993 0.911794405337812
"DNS_Eichendorff" 1.02655932736537 1.09401355793507 1.10495368319834 0.974170726000858 0.932907162590943 1.14158730784419 1.07262052448452 1.11929965752759 1.01924912911091 0 1.20327671290298 1.07425756466988 1.12994149740374 1.10573735141231 1.15658800188862 1.21235677511415 1.30771592158132 1.08939028394309 1.05651756221629 1.28268321901478 1.04742242696754 1.06058487113098 1.11617930137622 0.959090725929009 1.05991702746364 1.16216500490689 1.00058969687152 1.19543412994288 0.932933626953853 1.09810859298722 1.05056712094921 1.17549391167993 1.10195635671293 1.0241736539451 1.19498317927405 1.01148829308796 0.984942528083885 1.07183688781436 1.17289784146309 1.15297864112592 1.05615648321907 1.07312411257683 1.13670905554063 0.995092455678723 1.07816770135332 1.05766766301879 1.17501695229119 1.18936424208148 1.2015444123449 1.06218562798779 0.994588942912682 1.11321739174063 0.941459236330044 1.0200628008678 1.03413450492262 0.957728619169207 0.988255461720669 1.0626904134039 1.28181912042782 1.00688010776693 1.13705837866127 1.10194384234432 1.09161196106433 1.20169826904478 1.06320809606944 1.11251065428653 1.04025500311053 1.13957422673405 1.07014809533627 1.10803167403168 1.05251137916051 1.05255699198155 1.13171804919251 1.09939087156721 1.08678848936834 1.281456641974 1.01626812087425 1.3112161018363 1.04554581173871 0.950701996106182 0.998888339058831 1.10988728863536 1.13479918096367 1.46497284909128 1.12973655766307 1.09921919318108
