"word" "word.freq" "doc.freq"
"230" "würdige" 18 17
"231" "einleitung" 12 12
"232" "interessirte" 14 14
"233" "befreite" 6 6
"234" "antwortete" 656 478
"235" "dankbar" 29 28
"236" "erwiesene" 3 3
"237" "ehre" 170 157
"238" "versprach" 55 51
"239" "gewissenhaft" 7 7
"240" "erkundigungen" 9 9
"241" "einziehen" 4 4
"242" "kenne" 68 64
"243" "herren" 172 140
"244" "oberflächlichem" 1 1
"245" "höflichkeitsverkehr" 1 1
"246" "lebe" 52 45
"247" "haus" 441 341
"248" "erziehung" 39 35
"249" "satans" 2 2
"250" "stickereien" 3 3
"251" "kirchen" 7 7
"252" "nähmen" 2 2
"253" "übrige" 8 8
"254" "zeit" 908 634
"255" "anspruch" 51 50
"256" "intimeres" 1 1
"257" "verhältniß" 31 30
"258" "übrigen" 52 52
"259" "ernstes" 12 12
"260" "interesse" 56 53
"261" "geltend" 17 17
"262" "erachte" 2 2
"263" "pflicht" 84 72
"264" "thüren" 33 33
"265" "anzuklopfen" 1 1
"266" "regiment" 39 33
"267" "herr" 1030 515
"268" "leute" 362 286
"269" "grund" 143 129
"270" "besitzt" 58 58
"271" "scharfen" 34 34
"272" "adlerblick" 1 1
"273" "weiches" 7 7
"274" "vaterherz" 2 2
"275" "erwiderte" 382 311
"276" "bewußte" 6 5
"277" "befehl" 59 54
"278" "infanterie" 11 9
"279" "gewiß" 298 262
"280" "cavalerie" 10 8
"281" "uniform" 43 38
"282" "sonderbar" 43 41
"283" "glaube" 251 222
"284" "capitän" 186 82
"285" "lieutenant" 135 76
"286" "ausgesprochen" 32 32
"287" "original" 8 8
"288" "theure" 24 23
"289" "ach" 297 247
"290" "hülfe" 122 116
"291" "rechnete" 8 8
"292" "eröffnung" 4 4
"293" "augen" 1153 786
"294" "mädchen" 663 411
"295" "brach" 132 127
"296" "lachen" 150 125
"297" "fremde" 68 55
"298" "gesunde" 6 6
"299" "vernunft" 59 56
"300" "zweifel" 125 115
"301" "gezogen" 53 52
"302" "ergriff" 95 93
"303" "lebhaft" 88 85
"304" "wenigen" 52 50
"305" "aufklärung" 12 12
"306" "gestehen" 86 80
"307" "zufall" 89 72
"308" "vorsehung" 31 26
"309" "erlebnisses" 1 1
"310" "verantwortung" 7 7
"311" "liebenswürdige" 19 18
"312" "liebesgeschichte" 6 5
"313" "besonderer" 13 13
"314" "art" 342 302
"315" "lachlustige" 1 1
"316" "richtete" 89 86
"317" "stolz" 136 122
"318" "vierzehn" 53 45
"319" "jahre" 370 276
"320" "vertrauen" 64 60
"321" "wichtigsten" 5 5
"322" "dinge" 151 140
"323" "gegenwart" 103 97
"324" "verhandeln" 1 1
"325" "wünschest" 6 6
"326" "gehe" 101 91
"327" "mama" 59 39
"328" "roth" 68 64
"329" "wolke" 21 19
"330" "sonnenuntergang" 10 10
"331" "blanche" 34 18
"332" "planchette" 1 1
"333" "liebling" 24 23
"334" "geh" 78 61
"335" "setz" 6 6
"336" "clavier" 7 5
"337" "artig" 17 15
"338" "verzogene" 2 2
"339" "kind" 542 364
"340" "eifrigst" 1 1
"341" "üben" 13 12
"342" "spielte" 79 72
"343" "energie" 22 22
"344" "mäßigte" 1 1
"345" "musik" 74 64
"346" "sanfte" 39 39
"347" "begleitung" 38 34
"348" "unterhaltung" 72 68
"349" "bildete" 36 34
"350" "erzählung" 88 77
"351" "verfolgen" 27 26
"352" "entgingen" 3 3
"353" "wesentlichen" 2 2
"354" "begriff" 102 97
"355" "brauche" 57 54
"356" "fürchten" 63 59
"357" "wundern" 20 19
"358" "gestehe" 25 24
"359" "sclavin" 2 2
"360" "antoinettens" 3 3
"361" "ansehe" 5 5
"362" "zehntel" 2 2
"363" "heut" 61 58
"364" "tage" 540 424
"365" "schwäche" 34 33
"366" "ansteckte" 2 2
"367" "liebe" 896 549
"368" "bekam" 59 53
"369" "schläge" 22 22
"370" "sterben" 166 131
"371" "töchter" 27 23
"372" "artiger" 2 2
"373" "geschlagen" 42 41
"374" "eltern" 79 67
"375" "verheiratheten" 1 1
"376" "beliebte" 8 7
"377" "wir's" 18 16
"378" "gehofft" 12 12
"379" "weinten" 8 8
"380" "muthigeren" 1 1
"381" "klagten" 4 4
"382" "tyrannei" 5 4
"383" "redeten" 3 3
"384" "kloster" 38 30
"385" "ende" 383 327
"386" "nachgab" 6 6
"387" "befand" 162 151
"388" "vater" 922 444
"389" "menschenkenntniß" 1 1
"390" "ding" 55 48
"391" "fest" 222 202
"392" "glaubte" 237 210
"393" "verzweiflung" 87 82
"394" "halben" 49 47
