"NSdA_About" "NSdA_Alarcon" "NSdA_Anonym_Jungfrau" "NSdA_Anynom_Urtheil" "NSdA_Balzac_Blutrache" "NSdA_Balzac_Capitaen" "NSdA_Barilli" "NSdA_Bernhard" "NSdA_Beyle_San_Francisco" "NSdA_Beyle_Vanina" "NSdA_Bjoernson" "NSdA_Blicher" "NSdA_Broughton" "NSdA_Caballero_Schweigen" "NSdA_Caballero_Servil" "NSdA_Cremer" "NSdA_Dickens" "NSdA_Etlar" "NSdA_Feuillet" "NSdA_Gobineau" "NSdA_Goldschmidt" "NSdA_Hahn" "NSdA_Harte_Glueck" "NSdA_Harte_Kunde" "NSdA_Irving" "NSdA_Jokai_Gattin" "NSdA_Jokai_Unterhaltung" "NSdA_Korzenowski" "NSdA_Mascheroni" "NSdA_Merimee_Colomba" "NSdA_Merimee_Lokis" "NSdA_Moreau" "NSdA_Musset" "NSdA_Nemec" "NSdA_Nerval" "NSdA_Nodier" "NSdA_Ongaro_Montenegrinerin" "NSdA_Ongaro_Tauben" "NSdA_Ouida" "NSdA_Pissemski" "NSdA_Poe" "NSdA_Puschkin_Pique" "NSdA_Puschkin_Schuss" "NSdA_Reybaud_Advocat" "NSdA_Reybaud_Fraeulein" "NSdA_Reybaud_Theobald" "NSdA_Sand" "NSdA_Thackeray" "NSdA_Tolstoy" "NSdA_Turgenjeff_Faust" "NSdA_Turgenjeff_Liebe" "NSdA_Ulbach_Aerzte" "NSdA_Ulbach_Unschuld" "NSdA_Viale" "NSdA_Vigny" "NSdA_Wetterbergh" "NSdA_Winther"
"NSdA_About" 0 1.30847916217857 1.13899087015203 1.10476439619368 0.857375703278232 0.847699156332104 0.949681119543226 0.864439313440686 1.06835637665136 0.94731423071079 1.15485706237943 1.18386592930786 1.06561600475244 1.02143935097586 0.963914034761521 1.0752394619505 0.903825609048985 1.05807099099833 0.931292589953925 0.909988593526598 0.961238733269962 0.946400966559337 1.15301826790357 1.11538856527957 1.02358326446432 1.0375567584141 1.22898012439129 1.04639458554474 0.834497859764051 0.783477040666363 0.898860399008872 1.19170155759849 0.873075794639831 0.992127202098725 0.939939046217756 0.987603991927648 0.908095382972081 0.868036625524674 1.12173114432063 1.05217290371574 1.02332033462129 1.03898536292318 1.16101031583753 0.971517377644043 0.891171029788315 1.03681616471067 0.935284008826149 0.799868874188701 1.06013824050299 0.9800547973618 1.01528933838441 0.888089867673702 0.85392597285499 1.10015367349414 0.899810178740259 0.863518801992335 0.997709629006718
"NSdA_Alarcon" 1.30847916217857 0 1.43521945102029 1.40643037774826 1.31747499506958 1.34485099134633 1.33456933074866 1.36525995113976 1.45822641588609 1.38433234450718 1.41568651762006 1.35965134160773 1.39783972459927 1.33355609645703 1.26359092785708 1.50032015346272 1.34919494231758 1.44128161082377 1.416004527976 1.40798436349991 1.4414438680154 1.38265795525518 1.48856210597317 1.38283807456097 1.45481966717018 1.36510719466651 1.50803482447826 1.41232922207105 1.36968417703355 1.27311876008172 1.40600828720479 1.50820636265488 1.28881819406919 1.33889948362763 1.40482181124253 1.38902633924461 1.34199539366543 1.38529627957568 1.39475794398954 1.39425054637895 1.44184427277251 1.39913010458626 1.45151548528901 1.39604791405647 1.31295774601704 1.38627586988187 1.38818682496298 1.30198335268131 1.37970121990532 1.31603998461347 1.3971149390156 1.36612759989815 1.39945387955686 1.33300972947063 1.29402487489029 1.35969565370324 1.35341474396455
"NSdA_Anonym_Jungfrau" 1.13899087015203 1.43521945102029 0 1.18120184314654 0.981474367522917 1.01434979128295 1.28185322920103 1.04568818644415 1.20749284171266 1.15149557988345 1.27112217901315 1.18424552402719 1.15664701628688 1.08520152583189 1.15915134854533 1.34331884885695 1.17930374618245 1.21675093194488 1.10829295418321 1.10715823999302 1.28333482117158 1.00942311384962 1.1210064558854 1.06101362037549 0.958754903978705 1.1904352080755 1.43081803461562 1.09679766103839 1.1214485187186 0.993412530277992 1.0023498647376 1.30207024046433 1.13973665937221 1.22412179273428 1.0292362069101 1.12102313559841 1.06014823926339 1.0069094080309 1.04104070109775 1.3796852374566 1.10749788511835 1.18993947855191 1.25761342586375 1.16069891854522 0.989809892445866 1.19809749697994 1.26434117987801 0.949446795969462 1.17968669931683 1.13528198570314 1.11120100029538 1.11735125312934 1.08269615469985 1.09003353781624 1.06061518099569 1.10267970969146 1.07091948248208
"NSdA_Anynom_Urtheil" 1.10476439619368 1.40643037774826 1.18120184314654 0 1.07100476231432 1.03165650262226 1.14648824120775 1.1187823980373 1.2742896911441 1.17989342443064 1.23637597351543 1.21016297319171 1.14538348297562 1.21604266124241 1.07687386240653 1.21772432408394 1.10444463579974 1.16938756854677 1.08884336949903 1.18557847585509 1.2166723727429 1.09707997867275 1.13040661741375 1.11993977135537 1.05556983579401 1.14075417492368 1.30771455318508 1.19445300025471 1.04790728052152 0.998993745422179 0.975372869219173 1.38284033485226 1.07823271421887 1.15661348558015 0.997463562671239 1.18388052066824 1.05456981941393 1.06071954204256 1.23304257701112 1.20896240724723 1.06573478876676 1.15053481409048 1.2662588039791 1.08145875332617 1.02553155079455 1.18746922714079 1.16736592109706 0.965421561823569 1.20051544480772 1.17744880699102 1.14177230922493 1.0959607996553 1.07828241222874 1.19741178538399 1.02331530955223 1.14714078354404 1.1532622233794
"NSdA_Balzac_Blutrache" 0.857375703278232 1.31747499506958 0.981474367522917 1.07100476231432 0 0.761942254491937 1.06229662585755 0.774884072285499 0.925826003386004 0.824926155538586 1.06751048243691 1.01888560358914 1.1305127992866 0.869208949502735 0.903180434239985 1.17056470469285 0.863079832918653 0.962801434560642 0.783657334165812 0.854925228465514 1.12307230341511 0.691714181756284 1.01358642825973 0.893642453811427 0.834673914248093 0.981464575303573 1.25833677658312 0.849862350972687 0.863540961948104 0.621160918917561 0.881667569042934 1.17475129307909 0.818198388200792 1.02121163757437 0.929405030526062 0.987919695740055 0.857693231863198 0.746015091163978 0.9520209523891 1.21514907514106 0.971051805061352 0.905010093630306 1.12903832209644 0.811288358997691 0.677669638895794 0.899129280152857 0.983404758968354 0.834563612156216 1.02316121050601 0.93799563347798 0.877562091911005 0.820662364947146 0.751244796960328 0.993309783497756 0.928152229324597 0.83672945291861 0.853096521715552
"NSdA_Balzac_Capitaen" 0.847699156332104 1.34485099134633 1.01434979128295 1.03165650262226 0.761942254491937 0 0.977219445892112 0.847076034549991 0.984698879831106 0.899247835280004 1.1828606453282 1.15834299329606 0.993967343109663 0.921652763535025 0.911739044277081 1.1036367752149 0.93973664175725 1.05876540635367 0.780145237210995 0.860349757091959 1.04202734776668 0.83156275843135 1.0370504369975 0.963827245702665 0.871975581240391 1.01562678200603 1.26186308832214 0.988295266766093 0.794638017032756 0.755473529389543 0.774577147606454 1.16298185981266 0.893171226311027 1.04583836353165 0.852234572331568 0.874600074385459 0.84560808404006 0.766406743672013 0.940737503927855 1.18643361508183 0.938555162753802 0.991288011834465 1.13070459521125 0.901749881111748 0.794663948712424 1.00069131259755 1.00636699610902 0.742797302948916 1.01066308118725 1.00708422019701 0.992959977528952 0.842978463974734 0.802763486855675 0.986652953644343 0.90125364911078 0.870918397188576 0.934126518311625
"NSdA_Barilli" 0.949681119543226 1.33456933074866 1.28185322920103 1.14648824120775 1.06229662585755 0.977219445892112 0 1.01693695009812 1.23808688707026 1.08663577499069 1.17533183284116 1.2601758852037 1.083982381659 1.16619622210853 0.966121996370598 1.1137840760047 0.95662608910058 1.16931323245515 0.965387614465995 1.08941060837721 1.04896561937954 1.12867631304512 1.38356267312363 1.19390487226521 1.24273408348653 1.15795309843936 1.26097425987238 1.13208839159014 0.909394084621453 0.911436394106976 1.02713152772001 1.34876913380354 0.918927421308409 1.02285089887488 1.07965409661958 1.02125679951205 0.953188973063461 1.01668169778675 1.293027795374 1.01234050701241 1.23344642990343 1.19623934666891 1.32491881485313 1.01306197074188 0.933063894103397 1.08856715820421 0.889094251668632 0.963342389314643 1.14484030869135 0.967935757692555 1.09805052836025 0.921547655746025 0.971901771648741 1.15763161006709 1.01863373581063 1.03814851666729 1.08258489185279
"NSdA_Bernhard" 0.864439313440686 1.36525995113976 1.04568818644415 1.1187823980373 0.774884072285499 0.847076034549991 1.01693695009812 0 0.999989724186034 0.878922788060583 0.985943045175027 1.05247918159887 0.997935596216455 0.954522219183641 0.937923422137757 1.20231473006312 0.778230171147095 0.963046068834523 0.866510348742768 0.915437773081172 1.04350194367459 0.842403884674474 1.10513163768234 1.04886053814023 0.918082328771403 1.00792990772349 1.23090622000974 0.938927267558352 0.898051693940929 0.75865224368832 0.899650030467165 1.19718390296228 0.929829055479339 0.998246222888558 0.969412992599386 0.977828022855177 0.844567548559988 0.77580931780125 1.0380231996468 1.15708676544905 1.07839938853099 0.939092102742731 1.18865062161278 0.887766112229932 0.749399538487264 0.952798809774288 1.00002409836734 0.772951913860441 0.947257280796984 0.901549377993427 0.88192407217519 0.874605059703416 0.822417436086514 1.07742636894452 0.905844762822075 0.790192251373793 0.885737161431738
"NSdA_Beyle_San_Francisco" 1.06835637665136 1.45822641588609 1.20749284171266 1.2742896911441 0.925826003386004 0.984698879831106 1.23808688707026 0.999989724186034 0 0.902142172529378 1.29616501202029 1.23803920378852 1.27999149431194 1.12912497892663 1.16810478636726 1.3399884575364 1.11185190498431 1.17323506208399 1.03344229098076 1.00846129212717 1.23162368117621 0.952046102344593 1.20485545948939 1.18158155139381 1.08016623854056 1.1662189780686 1.36314228241717 1.10221243802989 1.0579081869783 0.987550517970599 1.11421322046813 1.29565215184259 1.05764563464165 1.20483204797347 1.11906887316895 1.13760097921455 1.09644126011305 0.986613315257866 1.13373899969433 1.40591985619075 1.20386540443318 1.10955272158932 1.28671109465918 1.07985451015643 0.993837900684458 1.1206118025774 1.2426500020129 1.05794665006454 1.18146296179596 1.14546072947043 1.11548109933107 1.04658944501713 1.01458554192859 1.13327911472326 1.13469553799335 1.10526833202952 1.0917284616348
"NSdA_Beyle_Vanina" 0.94731423071079 1.38433234450718 1.15149557988345 1.17989342443064 0.824926155538586 0.899247835280004 1.08663577499069 0.878922788060583 0.902142172529378 0 1.19726893218366 1.15853560272361 1.17148950029975 1.04998469520311 1.0105243927149 1.26054964167584 0.954509499848998 1.10717344898014 0.920764475323847 0.910562539158802 1.1343012281521 0.850357599617962 1.20277528351634 1.09005791513894 1.0076713307583 1.06543471625201 1.27294930702842 1.00986723532884 0.967497698762095 0.849080783798857 1.01244758521891 1.26162616711424 0.975556743562069 1.10222739049241 1.02569877971549 1.06025424550389 1.03465594481956 0.8787924803806 1.09541709075634 1.2785589063031 1.13635250750493 0.977495809676044 1.17470048078679 0.913979221303331 0.866844100426654 0.952409560175575 1.10809252114363 0.928178592587987 1.09807163969778 1.06942053618928 0.998476903119435 0.891871941456497 0.903814443383015 1.11575836354194 1.04240284327664 0.995960875311273 1.03136410590498
