"word" "word.freq" "doc.freq"
"226" "rußland" 7 7
"227" "verlassen" 1621 1373
"228" "vergessen" 1202 1049
"229" "nabob" 2 2
"230" "lachen" 1909 1424
"231" "gewohnheit" 252 241
"232" "schön" 3804 2636
"233" "frau" 6586 3031
"234" "muhmen" 3 3
"235" "gevatter" 61 45
"236" "bursch" 207 162
"237" "groschen" 50 41
"238" "miethe" 19 18
"239" "erkerkammer" 1 1
"240" "zahlen" 150 136
"241" "hoffen" 688 619
"242" "lieb" 3224 2227
"243" "mahnen" 104 100
"244" "thüre" 959 724
"245" "glauben" 3137 2355
"246" "treppe" 611 494
"247" "angedenken" 21 21
"248" "unvergesslich" 31 26
"249" "commers" 2 2
"250" "laterne" 156 108
"251" "hausthür" 139 121
"252" "öffnen" 995 884
"253" "hals" 616 571
"254" "rausch" 64 63
"255" "vetter" 692 347
"256" "magd" 366 266
"257" "lieben" 1964 1240
"258" "bewundern" 156 153
"259" "tummeln" 28 28
"260" "trotz" 806 741
"261" "lästerung" 14 14
"262" "weib" 1546 1054
"263" "wohlsprechen" 1 1
"264" "leiter" 87 59
"265" "galgen" 85 69
"266" "unrecht" 441 379
"267" "uebermüthig" 2 2
"268" "flott" 20 19
"269" "student" 99 70
"270" "schuldig" 276 248
"271" "wirthschaftet" 3 3
"272" "haus" 5776 3458
"273" "gott" 3300 2122
"274" "leute" 2170 1649
"275" "eitel" 119 111
"276" "verlieben" 181 156
"277" "wort" 4783 3303
"278" "grund" 1146 1005
"279" "aufgeräumt" 8 8
"280" "wirth" 358 248
"281" "vornehm" 458 399
"282" "geltend" 85 82
"283" "geld" 1168 779
"284" "lehren" 220 200
"285" "klug" 430 397
"286" "duckmäuserig" 1 1
"287" "pfui" 51 45
"288" "mensch" 3300 2356
"289" "cavalier" 49 45
"290" "schlagen" 1811 1510
"291" "scharf" 602 565
"292" "klinge" 39 38
"293" "temperament" 30 29
"294" "vernarren" 13 13
"295" "hänseln" 7 7
"296" "verdienen" 396 366
"297" "zuwider" 60 59
"298" "königsberger" 7 7
"299" "schatz" 358 275
"300" "schönheit" 454 385
"301" "klugheit" 82 72
"302" "gelahrtheit" 2 2
"303" "ungeachtet" 56 55
