"word" "word.freq" "doc.freq"
"232" "weisen" 140 128
"233" "hand" 2974 1675
"234" "waschen" 51 44
"235" "scheuleder" 1 1
"236" "aug" 21 20
"237" "seh" 60 46
"238" "knapp" 22 22
"239" "hantieren" 10 10
"240" "zug" 386 329
"241" "hüll" 2 2
"242" "nebel" 68 60
"243" "bergspitz" 1 1
"244" "vermeinen" 13 12
"245" "ungesund" 8 7
"246" "wetter" 109 90
"247" "fangen" 282 262
"248" "husten" 9 8
"249" "bessern" 38 36
"250" "kaufen" 89 75
"251" "poldel" 11 7
"252" "schüssel" 28 24
"253" "long" 1 1
"254" "dato" 4 3
"255" "arm" 1749 1157
"256" "fressen" 17 16
"257" "erarbeiten" 3 3
"258" "gedeihen" 35 33
"259" "freuen" 234 204
"260" "kerl" 98 81
"261" "gesund" 114 100
"262" "ding" 405 366
"263" "zugehen" 47 45
"264" "grube" 17 15
"265" "nachsehen" 35 35
"266" "weißt's" 3 3
"267" "heirathen" 107 78
"268" "einlassen" 32 32
"269" "überkommen" 77 73
"270" "blinzeln" 23 23
"271" "schief" 28 27
"272" "glauben" 1052 795
"273" "necken" 20 19
"274" "würd" 46 33
"275" "aufnehmen" 94 91
"276" "uebles" 4 4
"277" "poldel's" 2 2
"278" "wiege" 43 31
"279" "merken" 206 190
"280" "frühere" 1 1
"281" "erwarten" 256 243
"282" "sonderlich" 37 36
"283" "streng" 156 134
"284" "verbieten" 69 62
"285" "weinen" 289 220
"286" "ueberquerste" 1 1
"287" "geschweig" 5 5
"288" "wußt" 14 14
"289" "zuweg" 2 2
"290" "anstiften" 6 6
"291" "ärgern" 54 52
"292" "arg" 118 105
"293" "meinung" 118 108
"294" "bewusst" 59 59
"295" "begütigendes" 1 1
"296" "wort" 1803 1227
"297" "beifallen" 2 2
"298" "rohr" 10 9
"299" "handsam" 2 2
"300" "schellenrodel" 1 1
"301" "klug" 163 150
"302" "aussehen" 141 127
"303" "schluchzen" 139 123
"304" "percailenen" 1 1
"305" "fürtuch" 1 1
"306" "heim" 116 104
"307" "aelterer" 1 1
"308" "erlauben" 123 112
"309" "unfein" 1 1
"310" "anhören" 49 48
"311" "verhetzen" 1 1
"312" "ausbleiben" 27 26
"313" "unverdorben" 4 4
"314" "fried" 3 3
"315" "vergebung" 18 16
"316" "schuld" 301 249
"317" "herrgott" 68 59
"318" "hingeben" 39 38
"319" "geistlich" 58 47
"320" "deinetwegen" 7 7
"321" "weis" 8 7
"322" "sünde" 110 84
"323" "ledig" 38 34
"324" "fremde" 289 191
"325" "büßen" 26 25
"326" "leiblich" 17 16
"327" "ducken" 20 18
"328" "ansehen" 309 274
"329" "überlegen" 114 109
"330" "nuss" 7 7
"331" "kern" 7 7
"332" "hitzig" 28 27
"333" "blut" 290 233
"334" "aufstehen" 65 60
"335" "wörtelt" 1 1
"336" "daherreden" 4 4
"337" "hallodereien" 1 1
"338" "verfallen" 68 63
"339" "man's" 39 37
"340" "fromm" 160 127
"341" "aufsicht" 10 9
"342" "verhüten" 15 15
"343" "hineinwischen" 1 1
"344" "rockzipfel" 3 2
"345" "hineinschwänzen" 1 1
"346" "hurtig" 10 10
"347" "wiesel" 3 3
"348" "feld" 168 144
"349" "rain" 9 9
"350" "flink" 22 22
"351" "unruhig" 86 86
"352" "gicht" 4 4
"353" "leiden" 229 201
"354" "mutterseelenallein" 7 7
"355" "schreiben" 440 304
"356" "unverhofft" 13 13
"357" "neuartig" 1 1
"358" "aufhorchen" 3 3
"359" "konnt" 19 18
"360" "vormund" 15 12
"361" "kirchendiener" 3 3
"362" "pfarre" 11 9
"363" "betbruder" 1 1
"364" "vorsatz" 32 28
"365" "gottgefällig" 3 2
"366" "werk" 113 106
"367" "fleißig" 64 61
"368" "bestärken" 24 23
"369" "art" 376 340
"370" "mengen" 4 4
"371" "fremd" 326 279
"372" "angelegenheit" 99 90
"373" "frommheit" 2 2
"374" "ernst" 468 348
"375" "fänd" 3 2
"376" "vollauf" 17 17
"377" "freilich" 457 401
"378" "irren" 71 64
"379" "fromme" 10 10
"380" "käm" 16 14
"381" "zurecht" 58 54
"382" "hergehen" 13 13
"383" "dünger" 4 3
"384" "häufelt" 1 1
"385" "vorsehen" 5 5
"386" "mist" 2 2
"387" "wachsen" 161 145
"388" "beschlossen" 4 4
"389" "einverstanden" 21 17
"390" "bub" 11 9
"391" "vermöcht" 1 1
"392" "einreden" 18 18
"393" "spiel" 180 153
"394" "hof" 346 272
"395" "unheil" 40 40
"396" "schieben" 167 148
"397" "sandkorn" 3 2
"398" "schuh" 41 35
"399" "spötteln" 6 6
"400" "fuß" 531 438
"401" "heil" 30 28
"402" "heiligmäßigen" 1 1
"403" "auffinden" 18 18
"404" "pechleitner-poldel" 2 2
"405" "zusteigen" 1 1
"406" "hoffärtig" 6 5
"407" "weihe" 6 6
"408" "weihen" 27 26
"409" "gebet" 85 74
"410" "einschließen" 12 12
"411" "erfahren" 323 283
"412" "wahr" 435 376
"413" "geistliche" 47 36
"414" "heilige" 88 73
"415" "verkehr" 59 54
"416" "glaube" 100 79
"417" "gedanke" 743 595
"418" "geistlichkeit" 7 6
"419" "erinnern" 213 193
"420" "garten" 297 224
"421" "gesträuchen" 1 1
"422" "schwarz" 496 376
"423" "blattlaus" 2 2
"424" "hollunderbusch" 1 1
"425" "mönch" 53 35
"426" "grün" 224 196
"427" "rose" 65 51
"428" "staude" 6 6
"429" "weltgeistliche" 1 1
"430" "ameise" 2 1
"431" "zulaufen" 7 7
"432" "laie" 5 4
"433" "aufdringlich" 9 9
"434" "fühlhörnern" 2 2
"435" "herumstrichen" 1 1
"436" "segen" 66 60
"437" "absolution" 4 4
"438" "melken" 5 5
"439" "pfaffe" 21 17
"440" "spieß" 17 17
"441" "umkehrtest" 1 1
"442" "säh" 6 6
"443" "gleichniß" 5 5
"444" "stromte" 1 1
"445" "sommer" 84 80
"446" "verstund" 2 2
"447" "bischen" 73 66
"448" "taglöhnern" 2 2
"449" "draußen" 339 284
"450" "wiese" 77 64
"451" "heuete" 1 1
"452" "schneiden" 72 69
"453" "öftern" 2 2
